股票代码,股票名称,D-0日期,D-3振幅,D-2振幅,D-3~D-2区间涨幅,D-3~D-2区间振幅,D-1涨幅,D-1振幅,D-0振幅,D-0/D-2成交额百分比,T+0(低/高),T+1最高价,T+2最高价,T+3最高价,T+4最高价,T+5最高价,T+6最高价
688002,睿创微纳,2024-09-30,4.55,7.88,10.99%,10.19%,7.74,6.56,14.36,246.21%,16%/20%(板),35%,28%,25%,17%,16%,11%
688153,唯捷创芯,2025-02-12,4.34,7.14,8.19%,10.97%,-3.8,4.81,18.24,254.99%,-4%/8%(阴),2%,-1%,-5%,-6%,-5%,-2%
688216,气派科技,2022-08-09,8.09,11.32,19.49%,18.82%,-3.45,9.42,23.61,161.05%,-4%/19%(阳),11%,7%,-1%,-3%,-5%,-4%
688234,天岳先进,2025-09-05,8.36,7.75,6.45%,14.07%,-4.59,10.34,19.04,109.04%,1%/11%(阴),4%,7%,22%,29%,22%,18%
688272,富吉瑞,2025-02-10,3.14,3.23,3.03%,4.3%,1.07,2.88,19.22,523.12%,3%/18%(阳),13%,15%,29%,19%,27%,35%
688292,浩瀚深度,2023-02-14,12.11,11.82,15.67%,21.31%,1.79,8.31,17.51,227.46%,-3%/9%(阳),3%,-3%,1%,-2%,-4%,-2%
688300,联瑞新材,2023-11-17,10.19,14.09,21.06%,24.36%,-6.36,9.36,17.51,125.55%,-5%/2%(阴),-2%,-8%,-9%,-10%,-14%,-12%
688362,甬矽电子,2026-05-25,12.33,10.67,2.8%,15.36%,6.49,10.46,19.36,148.46%,2%/15%(阳),11%,10%,7%,-3%,-9%,-6%
688381,帝奥微,2026-04-27,9.09,12.74,9.69%,15.57%,7.08,7.92,14.35,129.03%,-9%/-1%(阴),-4%,-7%,-1%,0%,-1%,-5%
688435,英方软件,2024-09-27,4.9,3.01,4.1%,7.8%,2.98,4.13,18.95,173.23%,14%/19%(板),43%(板),72%(板),90%,32%,39%,40%
688455,科捷智能,2025-05-26,5.25,11.62,6.35%,14.73%,-4.46,6.37,20.75,186.42%,10%/20%(板),44%,50%,31%,16%,14%,13%
688521,芯原股份,2022-08-05,7.08,6.83,3.08%,9.16%,2.04,4.16,11.03,149.27%,6%/19%(阴),18%,18%,13%,8%,6%,5%
688525,佰维存储,2024-09-30,4.43,5.57,7.86%,7.27%,6.99,9.66,16.44,181.07%,11%/19%(板),38%,21%,10%,8%,13%,5%
688602,康鹏科技,2025-04-17,10.16,12.23,18.1%,25.24%,-1.21,10.48,15.1,267.65%,-4%/9%(阳),9%,7%,3%,1%,-8%,-12%
688682,霍莱沃,2021-06-28,12.19,12.48,16.28%,24.37%,3.33,7.33,17.92,129.75%,-5%/3%(阳),3%,-3%,6%(板),27%,35%,32%
688682,霍莱沃,2025-12-10,9.17,9.75,9.57%,17.2%,4.03,10.82,15.07,205.12%,-6%/2%(阴),6%,8%,2%,1%,1%,2%
688786,悦安新材,2022-08-01,9.27,5.03,11.47%,12.63%,-1.7,4.98,20.41,304.95%,1%/20%(板),44%,28%,15%,16%,20%,21%
300027,ST华谊,2024-08-19,19.77,20.92,29.65%,33.14%,-7.62,7.17,16.02,156.59%,-3%/19%(阳),18%,6%,-2%,-6%,-11%,-18%
300039,上海凯宝,2022-12-12,13.37,13.45,20.21%,23.48%,8.16,15.82,20.0,120.68%,2%/19%(阳),9%,8%,22%,19%,18%,15%
300094,国联水产,2025-11-19,9.87,10.62,12.53%,24.0%,6.16,11.85,19.2,112.81%,-12%/7%(阴),-5%,-5%,-12%,-19%,-22%,-24%
300102,乾照光电,2024-08-07,9.8,7.96,2.12%,10.62%,2.72,6.4,17.91,224.82%,3%/16%(阳),23%,-11%,-18%,-18%,-18%,-12%
300127,银河磁体,2021-11-26,13.57,13.53,19.33%,17.5%,-5.9,7.12,21.17,134.26%,-1%/4%(阳),-3%,-8%,4%,-6%,-8%,-11%
300166,东方国信,2022-01-17,8.62,5.32,4.69%,9.67%,-0.18,5.22,18.15,353.88%,-1%/8%(阴),0%,-4%,-3%,0%,5%,3%
300169,天晟新材,2024-09-27,12.37,12.72,10.25%,22.44%,7.05,13.14,19.31,159.65%,7%/19%(板),43%(板),55%,27%,13%,13%,17%
300224,正海磁材,2024-11-01,12.81,21.05,20.34%,30.91%,1.94,16.6,21.18,143.9%,-16%/0%(阴),5%,3%,-4%,-9%,-10%,-9%
300304,云意电气,2020-08-27,7.8,8.87,9.63%,12.61%,-1.05,7.53,22.41,200.85%,-2%/19%(阴),4%,11%,16%,5%,7%,13%
300353,东土科技,2025-03-17,18.33,9.31,13.57%,20.19%,-2.97,7.17,13.51,116.28%,-2%/19%(阳),21%,15%,8%,6%,6%,10%
300356,未找到标的,2022-11-14,12.5,6.57,11.14%,13.32%,-1.71,5.87,17.41,218.95%,0%/6%(阳),5%,4%,16%,21%,13%,7%
300376,易事特,2020-08-27,5.63,4.1,6.6%,7.77%,-2.19,4.74,19.93,277.08%,-4%/8%(阴),-2%,3%,12%,3%,18%(板),41%(板)
300377,赢时胜,2024-09-27,15.0,13.52,19.19%,32.26%,5.01,10.55,15.46,144.34%,20%/19%(板),43%(板),72%,65%,39%,43%,47%
300394,天孚通信,2025-08-28,8.54,10.83,17.8%,27.66%,3.61,7.51,16.85,113.07%,3%/11%(阳),25%,24%,17%,15%,5%,1%
300404,博济医药,2026-08-13,5.23,12.64,8.17%,14.22%,2.12,10.69,21.1,132.7%,8%/20%(板),22%,24%,13%,14%,7%,3%
300434,金石亚药,2022-11-14,5.1,7.44,6.5%,12.18%,-2.51,6.97,21.9,204.96%,13%/20%(板),28%,25%,26%,25%,19%,4%
300438,鹏辉能源,2021-11-17,18.36,9.52,14.33%,23.36%,-2.44,4.4,21.08,110.84%,2%/12%(阳),6%,6%,4%,7%,-4%,-1%
300450,先导智能,2024-11-11,6.0,4.21,7.09%,6.41%,-0.88,5.11,18.81,215.01%,4%/10%(阳),6%,9%,1%,7%,-1%,15%
300452,山河药辅,2026-01-15,1.97,2.66,2.84%,4.01%,-0.57,2.76,15.6,501.76%,-9%/-5%(阴),-8%,-7%,-8%,-8%,-7%,-3%
300465,高伟达,2021-03-25,7.15,7.47,10.79%,12.31%,-4.02,3.07,20.62,249.61%,-7%/5%(阳),8%,2%,0%,-3%,2%,1%
300475,香农芯创,2025-09-11,18.38,13.15,24.45%,27.52%,0.49,3.93,21.71,112.59%,0%/19%(阳),22%,19%,23%,23%,25%,37%
300521,爱司凯,2022-02-23,10.18,15.69,16.95%,20.67%,-1.1,3.77,22.21,113.36%,3%/19%(阳),6%,-8%,-10%,-8%,-10%,-14%
300527,ST应急,2024-10-10,13.42,12.86,34.58%,34.02%,-14.29,9.56,19.42,161.7%,-7%/10%(阴),9%,20%,15%,14%,8%,10%
300539,横河精密,2025-07-24,9.02,11.73,12.27%,18.59%,1.73,9.39,21.68,126.63%,0%/19%(板),41%,50%,46%,46%,38%,23%
300542,新晨科技,2023-08-09,3.87,9.22,9.58%,11.51%,-1.99,4.68,11.42,161.14%,0%/10%(阳),2%,0%,-2%,-3%,2%,16%
300562,乐心股份,2022-12-28,17.38,7.35,11.1%,18.64%,-5.47,7.54,19.84,151.24%,-1%/10%(阴),-1%,-5%,-6%,-9%,-10%,-13%
300584,海辰药业,2022-01-11,17.77,12.05,10.02%,21.88%,-2.57,5.37,20.08,143.72%,6%/20%(板),44%,47%,62%(板),54%,39%,58%(板)
300600,国瑞科技,2021-08-13,14.31,10.9,13.13%,19.94%,-4.1,6.63,18.93,191.52%,-6%/8%(阳),17%,9%,1%,-2%,-1%,-5%
300603,立昂技术,2021-12-16,4.22,4.25,4.34%,6.45%,0.11,4.04,15.04,603.49%,-4%/19%(阳),5%,4%,0%,-2%,3%,6%
300624,万兴科技,2021-06-10,15.3,14.47,22.11%,31.09%,0.12,7.57,22.65,129.32%,0%/16%(阳),-2%,-9%,-8%,-4%,-2%,-7%
300648,星云股份,2021-07-29,9.77,15.29,5.45%,21.86%,11.2,16.41,19.11,117.09%,3%/17%(阴),17%,6%,4%,4%,9%,15%
300663,科蓝软件,2021-06-10,14.87,10.06,12.36%,20.47%,0.2,4.86,20.29,191.67%,4%/19%(板),43%,37%,42%,53%,63%(板),63%
300691,联合光电,2021-11-15,9.65,10.4,12.24%,15.96%,-1.06,4.27,23.5,157.3%,-6%/10%(阳),6%,4%,10%,-1%,1%,15%
300700,岱勒新材,2022-01-17,4.88,6.18,5.28%,8.47%,-1.61,4.7,19.95,261.1%,2%/17%(阳),12%,23%,17%,15%,13%,7%
300700,岱勒新材,2022-06-06,9.5,10.38,13.19%,17.09%,1.81,4.02,18.08,149.15%,-1%/13%(阴),3%,-1%,9%,9%,9%,11%
300701,森霸传感,2025-08-20,3.41,2.41,4.24%,5.06%,-0.35,2.3,18.35,645.42%,-7%/-1%(阴),-3%,-6%,-1%,-5%,-10%,-5%
300718,长盛轴承,2020-10-28,10.07,10.93,6.73%,13.89%,-4.52,10.73,21.97,130.54%,-9%/6%(阴),-6%,-11%,-11%,-13%,-1%,-3%
300727,润禾材料,2022-06-14,7.26,8.42,7.13%,11.27%,2.09,5.56,20.03,386.34%,-7%/1%(阴),-3%,6%,0%,-2%,-5%,-7%
300745,欣锐科技,2021-11-04,20.0,10.42,16.64%,23.76%,8.9,15.34,19.17,144.51%,2%/11%(阳),19%,18%,20%,21%,20%,42%(板)
300780,德恩精工,2024-07-26,6.43,12.64,5.58%,12.78%,-0.51,5.5,19.91,184.74%,0%/14%(阴),-2%,-7%,3%,-4%,-10%,-12%
300806,斯迪克,2024-06-17,16.84,16.53,24.27%,27.62%,-7.83,4.71,19.91,143.01%,-3%/7%(阳),2%,-3%,-7%,-10%,-12%,-11%
300808,久量股份,2024-03-18,10.3,7.97,13.79%,16.76%,-0.51,2.93,19.81,219.1%,-4%/1%(阴),4%,2%,5%,4%,-1%,7%
300830,金现代,2024-12-03,7.49,14.1,6.16%,15.82%,-1.02,3.64,20.92,133.53%,-2%/14%(阴),5%,0%,-3%,4%,1%,2%
300843,胜蓝股份,2024-03-22,8.62,7.05,6.42%,10.76%,-2.17,5.45,18.67,170.84%,2%/17%(阴),24%,10%,7%,5%,1%,6%
300917,特发服务,2023-07-25,6.42,8.44,7.46%,10.17%,-2.21,7.6,17.37,184.18%,-2%/16%(阳),12%,8%,20%,9%,12%,14%
300943,春晖智控,2024-08-01,5.2,20.55,11.37%,24.51%,-1.76,5.37,20.34,136.31%,1%/19%(阴),-4%,-9%,-1%,0%,-11%,-13%
300945,曼卡龙,2024-12-02,9.51,4.98,6.67%,14.9%,2.02,4.23,19.19,127.5%,-3%/9%(阴),3%,1%,-4%,-5%,-2%,-4%
