股票代码,股票名称,D-0日期,D-3振幅,D-2振幅,D-3~D-2区间涨幅,D-3~D-2区间振幅,D-1涨幅,D-1振幅,D-0振幅,D-0/D-2成交额百分比,T+0(低/高),T+1最高价,T+2最高价,T+3最高价,T+4最高价,T+5最高价,T+6最高价
300960,通业科技,2024-07-18,9.35,11.63,4.17%,12.45%,-2.07,4.13,23.55,278.13%,10%/20%(板),44%,64%(板),53%,52%,34%,24%
301020,密封科技,2021-08-16,16.25,13.16,13.62%,21.75%,4.43,12.22,20.27,162.38%,-12%/6%(阴),-7%,-13%,-20%,-19%,-13%,-11%
301022,海泰科,2025-06-26,5.54,16.54,21.15%,22.6%,-0.76,5.42,21.69,146.41%,-6%/19%(阴),-10%,-12%,-14%,-16%,-18%,-19%
301165,锐捷网络,2024-12-19,10.1,12.8,13.08%,19.26%,0.64,8.01,19.45,100.25%,1%/17%(阳),26%,15%,16%,25%,20%,14%
301186,超达装备,2023-06-09,6.44,11.59,3.15%,14.45%,-5.14,5.47,20.7,121.39%,-5%/9%(阳),9%,8%,0%,8%,1%,0%
301275,汉朔科技,2026-01-14,9.86,8.66,12.0%,14.45%,-1.73,8.53,21.27,186.62%,1%/16%(阳),8%,5%,-2%,-5%,-6%,-8%
301277,新天地,2023-08-11,7.88,10.65,15.71%,16.66%,-3.1,3.32,21.0,156.12%,-2%/16%(阴),2%,9%,-1%,-9%,-14%,-15%
301282,金禄电子,2026-08-17,15.63,11.87,17.48%,22.18%,4.83,6.37,21.6,161.2%,4%/19%(阳),15%,10%,4%,2%,-2%,-2%
301292,海科新源,2025-11-13,16.29,23.18,33.55%,32.56%,1.82,16.77,14.98,104.08%,-6%/15%(阳),15%,8%,2%,5%,-10%,-16%
301302,华如科技,2025-05-12,4.91,13.15,15.93%,15.31%,-5.14,6.11,21.66,125.9%,-4%/5%(阴),3%,-3%,-7%,-10%,-12%,-13%
301321,翰博高新,2023-11-06,7.23,8.86,5.43%,13.55%,2.61,4.43,13.89,147.25%,2%/12%(阳),5%,4%,-3%,-3%,-4%,-4%
301396,宏景科技,2026-01-14,6.55,9.48,11.71%,12.53%,-5.04,8.29,20.23,197.92%,-7%/6%(阴),-5%,-10%,-11%,-14%,-11%,-10%
301629,矽电股份,2025-09-23,11.89,12.07,12.47%,22.63%,2.91,8.59,22.94,105.2%,-4%/18%(阳),10%,6%,2%,-1%,-1%,-7%
301687,新广益,2026-06-18,21.04,9.17,20.39%,26.67%,5.11,8.84,17.7,175.15%,-7%/-2%(阴),11%,11%,17%,8%,7%,-3%
