股票代码,股票名称,D-0日期,D-5涨幅,D-5振幅,D-4~D-1区间涨幅,D-4~D-1区间振幅,D-4~D-1区间最大振幅,D-0振幅,D-0/D-5成交额百分比,T+0(低/高),T+1最高价,T+2最高价,T+3最高价,T+4最高价,T+5最高价,T+6最高价
300448,浩云科技,2024-08-23,4.31,8.62,-8.86%,11.02%,9.64%,19.65,107.76%,-7%/-1%(阴),5%,-2%,-5%,-2%,-3%,-9%
300523,辰安科技,2025-03-05,5.06,6.98,-6.51%,9.46%,7.55%,21.08,197.27%,-3%/4%(阴),6%,-1%,-3%,1%,-3%,-6%
300590,移为通信,2024-09-27,2.71,7.33,4.59%,7.92%,5.09%,19.72,241.79%,3%/18%(阳),40%(板),33%,18%,11%,12%,13%
300649,杭州园林,2025-06-25,9.9,11.01,-8.79%,15.11%,10.89%,19.98,112.2%,-4%/17%(阴),10%,26%(板),34%,20%,16%,38%(板)
300693,盛弘股份,2022-07-14,6.93,14.08,0.3%,12.31%,11.29%,21.2,171.32%,-4%/2%(阴),5%,9%,7%,0%,-1%,-2%
300708,聚灿光电,2026-03-05,6.48,10.11,-3.87%,8.66%,6.98%,11.31,249.58%,-8%/-1%(阴),-5%,-5%,-2%,-3%,-5%,-10%
300715,凯伦股份,2026-05-14,7.6,11.48,3.26%,8.29%,6.93%,21.64,281.9%,-7%/2%(阴),-7%,-6%,6%,22%,15%,23%
300719,安达维尔,2021-08-19,1.83,6.09,-7.06%,13.23%,7.25%,19.45,212.25%,-3%/9%(阳),7%,0%,-7%,-7%,-9%,-11%
300749,顶固集创,2026-02-09,7.53,14.22,-0.78%,10.06%,10.12%,17.3,178.18%,8%/21%(板),26%,39%,45%,60%(板),73%,65%
300788,中信出版,2026-02-25,10.93,14.32,2.65%,11.15%,8.44%,22.63,124.22%,-2%/9%(阳),11%,10%,3%,-5%,-5%,-1%
300807,天迈科技,2023-06-12,6.05,12.96,-3.56%,7.74%,5.93%,20.85,156.41%,8%/18%(阳),9%,2%,-4%,-2%,-4%,-7%
300808,久量股份,2020-11-03,8.64,20.58,-3.21%,10.91%,10.82%,20.47,124.88%,-11%/5%(阴),-10%,-12%,-15%,-16%,-20%,-20%
300821,东岳硅材,2025-11-07,2.88,4.98,2.05%,4.41%,3.58%,20.89,515.67%,3%/20%(阳),19%,15%,26%,26%,32%,37%
300830,金现代,2025-07-17,9.31,16.54,-3.81%,11.82%,11.65%,22.92,152.84%,-4%/6%(阴),-5%,-5%,-8%,-9%,-5%,-6%
300842,帝科股份,2021-03-17,5.93,8.2,-8.06%,13.74%,6.93%,18.46,171.16%,1%/8%(阴),3%,0%,5%,-2%,-2%,1%
300854,中兰环保,2025-09-24,5.61,14.14,-9.26%,15.08%,7.66%,21.18,117.88%,-9%/0%(阴),4%,-4%,-6%,-11%,-9%,-12%
300880,迦南智能,2026-03-04,1.68,4.01,-3.3%,5.3%,5.37%,21.03,501.12%,3%/20%(阴),11%,24%,18%,15%,9%,6%
300891,惠云钛业,2021-09-02,7.88,11.18,-5.94%,13.15%,12.32%,22.91,141.77%,-10%/0%(阴),-9%,-11%,-11%,-13%,-14%,-13%
300961,深水海纳,2025-02-21,3.07,10.01,0.19%,6.73%,5.28%,19.19,162.84%,-8%/0%(阴),-1%,8%,0%,-3%,-6%,-5%
300967,晓鸣股份,2021-09-16,2.56,11.93,-6.59%,10.69%,4.88%,20.34,201.44%,-4%/20%(阳),8%,8%,4%,15%(板),21%,35%
