股票代码,股票名称,D-0日期,D-4振幅,D-3振幅,D-4~D-3区间涨幅,D-4~D-3区间振幅,D-2~D-1区间涨幅,D-2~D-1区间振幅,D-0振幅,D-0/D-3成交额百分比,T+0(低/高),T+1最高价,T+2最高价,T+3最高价,T+4最高价,T+5最高价,T+6最高价
300847,中船汉光,2025-07-07,12.86,9.23,4.1%,12.86%,-5.18%,7.28%,20.19,224.51%,-5%/4%(阳),5%,3%,8%,0%,-2%,-6%
300881,盛德鑫泰,2023-08-01,9.67,15.09,11.22%,18.74%,-4.56%,6.43%,20.73,171.65%,-9%/-4%(阴),-10%,-10%,-12%,-12%,-9%,-11%
300899,上海凯鑫,2024-11-13,13.78,12.42,5.47%,18.52%,1.16%,5.52%,18.16,276.13%,-14%/-5%(阴),-10%,-14%,-17%,-15%,-13%,-15%
300912,凯龙高科,2022-06-23,10.67,9.33,8.79%,12.98%,-6.63%,6.41%,19.94,255.27%,-1%/9%(阴),1%,-1%,-5%,-10%,-11%,-12%
300913,兆龙互连,2024-12-26,24.24,15.26,24.55%,40.0%,6.72%,11.92%,19.52,112.36%,-7%/-3%(阴),2%,-11%,-14%,-14%,-13%,-6%
300935,盈建科,2025-10-13,5.07,8.83,8.72%,11.14%,-3.63%,8.32%,24.46,106.85%,-9%/2%(阳),1%,-3%,-7%,-10%,-11%,-10%
300947,德必集团,2023-07-25,4.96,5.58,6.59%,11.2%,2.29%,6.43%,21.48,313.42%,-7%/-2%(阴),-9%,-8%,-4%,-9%,-10%,-13%
300996,普联软件,2024-07-02,9.28,7.25,11.41%,16.94%,-0.93%,7.4%,0.0,130.3%,-9%/5%(阴),-12%,-12%,-14%,-18%,-16%,-14%
300997,欢乐家,2025-11-10,8.69,8.78,6.97%,11.26%,-2.67%,3.9%,19.37,190.84%,6%/19%(板),36%,35%,32%,21%,23%,16%
301032,新柴股份,2024-10-11,13.13,15.28,34.22%,33.52%,-3.12%,13.11%,26.53,205.83%,-5%/19%(阳),8%,-4%,-6%,-6%,-8%,-8%
301123,奕东电子,2025-12-23,15.83,11.18,34.3%,32.21%,2.09%,12.25%,23.54,116.17%,-4%/9%(阳),12%,6%,5%,13%,12%,7%
301215,中汽股份,2023-11-23,4.29,5.1,7.26%,10.56%,-3.38%,4.46%,20.7,224.1%,-9%/-2%(阴),8%,1%,-4%,-9%,-8%,-6%
301232,飞沃科技,2025-10-20,4.88,9.99,3.77%,12.81%,-9.4%,9.71%,15.96,212.23%,-7%/-2%(阴),-5%,-8%,-1%,-6%,-7%,-9%
301233,盛帮股份,2023-01-30,9.72,8.84,12.03%,14.56%,3.22%,7.08%,17.76,209.98%,-8%/5%(阳),18%,6%,5%,-4%,-6%,1%
301286,侨源股份,2026-01-22,17.58,11.9,14.07%,23.91%,3.12%,12.16%,19.94,126.08%,-7%/1%(阴),-4%,-5%,-7%,-10%,-11%,-6%
301398,星源卓镁,2023-07-07,9.07,7.25,9.33%,10.88%,-0.59%,7.05%,22.33,332.86%,4%/18%(阳),32%,51%,39%,34%,30%,52%(板)
