股票代码,股票名称,D-0日期,D-1涨幅,D-1振幅,D-0振幅,D-0/D-1成交额百分比,T+0(低/高),T+1最高价,T+2最高价,T+3最高价,T+4最高价,T+5最高价,T+6最高价
300243,瑞丰高材,2024-04-19,5.95,15.8,21.96,144.26%,-6%/13%(阴),10%,9%,1%,-1%,-9%,-3%
300244,迪安诊断,2026-01-09,5.6,8.34,16.13,271.49%,16%/20%(板),43%,53%,37%,31%,26%,22%
300245,ST天玑,2022-03-11,9.46,19.41,24.8,112.9%,-12%/-2%(阴),-8%,0%,-5%,-5%,-5%,-8%
300246,宝莱特,2026-03-11,7.86,10.71,18.79,157.24%,-9%/1%(阴),-9%,-5%,-10%,-7%,-8%,-13%
300250,初灵信息,2023-02-01,2.29,7.22,21.84,187.35%,9%/21%(阳),30%,42%,38%,35%,32%,40%
300250,初灵信息,2024-10-08,17.94,17.44,18.08,142.93%,-13%/-2%(阴),-11%,-18%,-14%,-13%,-15%,-13%
300253,卫宁健康,2026-01-12,13.79,10.11,14.62,148.37%,2%/18%(阳),24%,13%,6%,-5%,-8%,-6%
300254,仟源医药,2021-04-28,4.85,12.14,22.53,322.22%,-11%/-1%(阴),-2%,-6%,-9%,-11%,-13%,-10%
300255,常山药业,2023-09-25,11.04,17.05,24.22,143.47%,-6%/5%(阳),24%(板),47%,44%(板),52%,44%,41%
300255,常山药业,2024-10-18,13.26,20.86,24.08,165.46%,-2%/21%(板),41%,34%,21%,36%,40%,31%
300255,常山药业,2025-05-07,11.89,12.36,17.85,247.38%,-7%/6%(阴),-2%,-5%,-7%,-8%,-9%,-9%
300255,常山药业,2025-06-09,15.12,17.5,18.57,122.01%,-3%/3%(阴),-1%,3%,2%,2%,4%,16%
300260,新莱应材,2024-10-08,19.19,15.61,11.99,152.09%,-11%/3%(阴),-6%,-16%,-20%,-15%,-16%,-19%
300261,雅本化学,2021-12-22,6.94,9.81,20.47,123.57%,11%/21%(板),39%,48%(板),78%(板),95%,66%,68%(板)
300267,尔康制药,2025-04-24,7.0,10.7,20.0,124.15%,-2%/9%(阴),1%,-2%,-5%,0%,-2%,-3%
300269,联建光电,2023-10-31,6.97,9.65,20.3,393.32%,-5%/19%(阳),14%,13%,5%,4%,0%,0%
300276,三丰智能,2024-11-06,6.49,9.74,22.36,236.7%,-1%/14%(阴),10%,5%,1%,-4%,-4%,-5%
300277,汽轮科技,2024-10-08,17.55,19.59,17.59,139.9%,-16%/0%(阴),-13%,-18%,-16%,-16%,-20%,-18%
300278,华昌达,2022-05-19,5.35,14.92,24.31,100.73%,1%/20%(阴),4%,7%,5%,1%,-5%,-10%
300282,未找到标的,2021-04-16,4.55,6.57,21.01,408.25%,-9%/-4%(阴),-9%,-11%,-12%,-14%,-15%,-16%
300283,温州宏丰,2020-09-03,6.19,12.38,21.13,216.86%,4%/21%(板),41%,50%,47%,21%,1%,5%
300284,苏交科,2024-10-08,14.92,14.09,16.63,176.36%,-8%/20%(阳),11%,-5%,-4%,15%(板),32%,40%
300287,飞利信,2024-09-30,8.81,9.83,14.33,154.56%,12%/20%(板),43%,59%,41%,43%,51%,32%
300291,百纳千成,2023-03-20,8.43,10.04,15.74,290.11%,0%/21%(板),29%,16%,16%,11%,8%,6%
300293,蓝英装备,2024-10-08,18.89,18.07,9.93,108.1%,-7%/20%(阳),14%,11%,18%,38%,27%,14%
300297,未找到标的,2020-10-19,13.7,17.42,3.27,126.08%,1%/15%(阳),22%(板),23%,20%,10%,10%,20%
300299,富春股份,2024-08-15,14.96,21.26,23.97,128.22%,2%/17%(阳),28%,11%,-3%,-13%,-21%,-22%
300300,海峡创新,2022-01-18,7.58,9.05,15.66,163.43%,-8%/7%(阳),1%,6%,0%,-6%,-10%,-12%
300308,中际旭创,2024-02-19,1.92,9.79,14.6,127.43%,0%/7%(阳),1%,4%,5%,-1%,8%,6%
300310,宜通世纪,2020-09-08,-1.72,7.31,20.41,223.34%,-13%/1%(阴),-13%,-24%,-19%,-16%,-19%,-19%
300310,宜通世纪,2024-09-30,7.94,14.44,22.06,122.32%,13%/20%(板),38%,26%,19%,8%,17%,12%
300311,任子行,2024-10-08,19.82,17.31,11.79,121.09%,-14%/0%(阴),-10%,-18%,-7%(板),8%,-1%,12%(板)
300311,任子行,2026-08-06,7.57,14.95,22.78,152.51%,-12%/-3%(阳),-6%,-3%,-9%,-10%,-13%,-14%
300315,掌趣科技,2023-04-28,9.38,11.3,21.83,131.76%,5%/18%(阳),14%,19%,14%,6%,3%,0%
300317,珈伟新能,2023-02-08,5.72,8.49,17.45,314.71%,4%/16%(阳),6%,-4%,-4%,-2%,-4%,-7%
300332,天壕能源,2026-03-03,5.98,5.8,16.42,220.27%,-7%/9%(阴),-3%,-11%,-1%,-12%,-14%,-10%
300333,兆日科技,2025-06-12,12.81,20.36,24.16,123.92%,-9%/6%(阴),-2%,2%,-3%,-7%,-13%,-11%
300334,津膜科技,2021-07-07,6.65,8.5,21.59,117.55%,4%/20%(阴),7%,2%,7%,3%,0%,2%
300335,迪森股份,2020-10-16,11.83,20.96,23.83,118.31%,-9%/1%(阴),-6%,-7%,-8%,-12%,-13%,-14%
300336,未找到标的,2021-10-22,3.0,10.11,20.73,550.69%,0%/9%(阴),5%,7%,18%(板),33%,26%,23%
300338,*ST开元,2021-06-18,4.34,15.58,16.82,148.54%,-5%/11%(阴),-4%,-9%,-13%,-14%,-18%,-18%
300338,*ST开元,2022-02-23,5.93,11.19,22.24,287.12%,-16%/-6%(阴),-11%,-13%,-9%,-4%,-7%,-1%
300339,润和软件,2024-09-27,13.62,19.48,19.38,170.73%,16%/21%(板),43%(板),72%(板),83%,65%,94%(板),130%
300340,科恒股份,2021-05-31,14.21,16.74,12.36,113.18%,-4%/6%(阴),7%,16%,15%,10%,22%,12%
300342,天银机电,2024-05-31,10.58,19.9,21.23,142.34%,-7%/1%(阴),-2%,-5%,-11%,-13%,-12%,-12%
300344,未找到标的,2023-02-07,1.98,2.86,19.18,540.14%,-7%/4%(阴),2%,12%,8%,2%,5%,8%
300344,未找到标的,2023-10-10,5.79,7.34,16.61,311.14%,-10%/4%(阴),10%,18%,23%,13%,4%,-7%
300352,ST信源,2024-10-08,15.89,12.85,8.87,215.64%,-5%/16%(阳),5%,-5%,-3%,8%,5%,8%
300353,东土科技,2021-06-21,3.94,6.77,17.28,133.08%,5%/17%(阳),7%,14%,5%,0%,1%,-3%
300353,东土科技,2024-10-08,15.94,16.05,10.98,157.02%,-13%/-2%(阴),-7%,-13%,-16%,-14%,-18%,-10%
300359,全通教育,2022-12-23,14.41,23.56,22.37,123.88%,-3%/13%(阳),21%,6%,-2%,-2%,-5%,-1%
300364,中文在线,2021-12-08,4.82,18.1,24.16,127.24%,-3%/3%(阴),4%,15%,12%,6%,11%,9%
300364,中文在线,2024-10-08,18.23,16.63,15.55,147.76%,-15%/-1%(阴),-10%,-19%,-19%,-12%,-15%,-10%
300366,ST创意,2022-10-27,18.22,19.41,23.28,138.61%,-8%/7%(阴),-1%,10%,6%,2%,1%,12%
300373,扬杰科技,2021-11-22,8.87,9.5,11.94,133.17%,3%/8%(阴),19%,12%,8%,10%,15%,11%
300375,鹏翎股份,2023-10-26,4.32,8.42,21.12,149.92%,9%/21%(板),17%,3%,0%,6%,5%,6%
300385,ST雪浪,2026-01-23,8.74,8.61,18.39,176.16%,-3%/14%(阴),2%,6%,8%,20%,24%,18%
300389,艾比森,2021-07-20,8.43,16.44,24.83,157.31%,-2%/17%(阳),14%,8%,3%,0%,-8%,-9%
300389,艾比森,2025-08-28,-2.85,4.36,5.63,492.38%,7%/18%(阴),22%,18%,11%,5%,11%,15%
300390,天华新能,2024-09-30,16.35,16.01,13.61,161.82%,10%/21%(板),19%,8%,1%,-5%,-5%,-9%
300399,天利科技,2026-01-06,5.88,8.6,21.46,292.26%,-8%/0%(阴),-10%,-8%,-1%,-2%,-3%,-7%
300403,汉宇集团,2022-07-28,14.55,21.57,18.11,172.35%,-9%/3%(阴),-2%,-1%,-6%,-16%,-17%,-16%
300407,凯发电气,2024-05-06,4.43,7.25,7.58,129.17%,-6%/6%(阴),-8%,-11%,-9%,-11%,-13%,-14%
300411,金盾股份,2025-07-22,11.02,16.16,15.37,229.16%,-3%/6%(阴),0%,-8%,-11%,-11%,-13%,-14%
300412,迦南科技,2020-09-08,9.42,21.51,19.75,179.39%,-10%/9%(阴),-9%,-19%,-15%,-16%,-17%,-18%
300417,南华仪器,2024-10-29,10.51,13.36,22.32,200.93%,-10%/0%(阴),6%,-4%,-15%,-11%,-12%,-14%
300422,博世科,2025-05-28,4.8,14.63,16.04,438.41%,-4%/18%(阳),3%,-7%,-6%,-8%,-11%,-12%
300424,航新科技,2020-10-12,7.11,12.11,22.37,170.89%,2%/20%(阳),14%,5%,-1%,2%,-2%,-1%
300426,华智数媒,2026-08-11,9.43,12.63,14.77,109.39%,-6%/3%(阴),-5%,-11%,-14%,-16%,-18%,-19%
300435,中泰股份,2021-11-19,7.28,14.5,23.33,117.2%,9%/17%(阴),12%,7%,13%,21%,19%,24%
300444,双杰电气,2020-10-26,7.56,18.97,17.19,125.0%,4%/19%(阳),18%,2%,-2%,-5%,-1%,-2%
300447,全信股份,2020-10-13,12.68,19.95,22.92,151.1%,-4%/13%(阴),0%,0%,11%,2%,0%,-9%
300448,浩云科技,2024-10-08,17.59,16.25,13.98,154.56%,-15%/-4%(阴),-10%,-16%,-16%,-13%,-15%,-13%
300449,汉邦高科,2023-02-10,13.64,20.65,12.95,105.46%,-8%/0%(阴),-6%,-7%,-9%,-12%,-15%,-14%
300454,深信服,2025-02-14,7.83,15.4,20.56,129.52%,-6%/12%(阴),-3%,1%,-1%,16%,11%,6%
300455,航天智装,2023-05-18,5.67,7.59,20.04,368.76%,-2%/4%(阴),-2%,4%,3%,2%,-3%,-4%
300459,汤姆猫,2020-09-08,7.09,14.42,18.98,156.25%,-7%/20%(阴),-4%,-6%(板),12%,6%,8%,3%
300465,高伟达,2025-09-01,10.06,16.02,10.25,139.05%,-5%/3%(阴),-5%,-7%,-8%,-7%,-6%,-7%
300471,厚普股份,2024-02-29,-1.58,12.22,22.42,193.56%,3%/14%(阳),5%,0%,-3%,-4%,-8%,-7%
300472,*ST新元,2021-10-21,9.17,22.34,21.44,118.94%,-6%/5%(阴),3%,0%,-11%,-17%,-22%,-18%
300473,德尔股份,2024-11-20,10.02,12.83,22.82,109.72%,-9%/0%(阴),-5%,-2%,-8%,-14%,-2%,-3%
300474,景嘉微,2023-03-23,6.58,9.28,23.87,175.17%,1%/17%(阳),20%,16%,15%,20%,21%,35%
300478,杭州高新,2020-09-09,4.48,7.76,16.79,269.5%,-20%/-6%(阴),-23%,-21%,-19%,-22%,-22%,-23%
300483,首华燃气,2026-03-03,19.82,16.54,14.53,145.82%,-20%/0%(阴),-9%,-14%,-5%,-21%,-17%,-10%
300488,恒锋工具,2026-05-08,12.84,19.22,16.06,166.54%,-6%/0%(阴),-5%,-8%,-8%,-5%,-7%,-7%
300490,华自科技,2020-10-26,3.22,11.37,17.17,128.99%,12%/20%(阴),12%,0%,-6%,-10%,-11%,-3%
300493,润欣科技,2023-04-07,4.76,6.84,20.98,335.28%,-2%/10%(阴),-1%,4%,6%,-1%,-4%,-7%
300494,盛天网络,2021-09-08,3.85,7.84,20.48,339.24%,-10%/-2%(阴),-8%,-3%,-6%,-8%,-7%,-12%
300499,高澜股份,2020-09-08,1.18,4.38,18.05,415.0%,-11%/2%(阴),-11%,-21%,-17%,-17%,-20%,-19%
300503,昊志机电,2023-06-30,5.41,19.86,22.52,114.3%,-2%/10%(阴),20%,10%,7%,8%,3%,1%
300505,川金诺,2026-02-25,13.6,13.52,17.02,201.96%,-3%/8%(阴),2%,1%,-6%,-2%,-7%,-2%
300507,苏奥传感,2021-11-12,2.87,4.43,17.0,1023.82%,3%/20%(阳),31%,34%,30%,52%(板),52%,47%
300515,三德科技,2025-03-07,8.3,9.78,14.62,127.02%,-11%/-1%(阴),-7%,-9%,-10%,-11%,-10%,-10%
300516,久之洋,2020-10-23,4.38,10.5,21.28,241.63%,-3%/9%(阴),11%,0%,0%,3%,-4%,-1%
300520,科大国创,2020-10-19,7.18,10.99,6.41,251.62%,-3%/12%(阳),19%,11%,5%,-2%,-3%,-3%
300531,优博讯,2024-10-08,17.87,15.67,11.44,154.98%,-9%/15%(阳),2%,-4%,-1%,0%,-5%,-2%
300533,冰川网络,2023-04-12,16.46,22.73,13.11,142.86%,1%/12%(阳),9%,3%,-1%,4%,5%,20%
300537,广信材料,2022-08-01,5.85,7.17,13.94,247.09%,4%/18%(阳),33%,31%,32%,24%,27%,25%
300537,广信材料,2024-10-08,14.29,15.04,13.54,166.9%,-14%/-2%(阴),-11%,-16%,-17%,-13%,-11%,-13%
300538,同益股份,2023-03-09,14.98,19.7,22.39,221.36%,-9%/-1%(阴),-7%,-4%,-4%,-9%,-11%,-12%
300540,蜀道装备,2026-04-20,7.82,11.85,19.73,183.03%,4%/11%(阴),13%,17%,20%,16%,35%(板),35%
300542,新晨科技,2021-06-08,3.69,5.45,14.07,248.27%,2%/11%(阳),26%,27%,12%,13%,9%,11%
300542,新晨科技,2024-05-17,14.58,18.02,16.06,132.69%,-11%/-3%(阴),-9%,-5%,4%,-4%,-14%,-16%
300546,雄帝科技,2022-01-07,8.13,12.43,8.46,205.09%,-6%/11%(阳),0%,-4%,6%,5%,19%(板),36%
300546,雄帝科技,2024-10-08,18.45,17.52,9.76,141.45%,-14%/-2%(阴),-10%,-15%,-16%,-13%,-16%,-15%
300546,雄帝科技,2025-05-29,6.36,17.98,22.66,221.59%,11%/21%(阳),33%,14%,35%,28%,26%,39%
300552,万集科技,2024-06-04,10.31,10.9,15.5,157.83%,-2%/10%(阴),7%,4%,-7%,-7%,-11%,-1%
300553,集智股份,2020-10-21,4.63,7.19,20.58,590.64%,-4%/11%(阳),2%,-5%,-5%,-7%,-11%,-10%
300554,三超新材,2022-07-22,8.79,11.58,15.25,179.13%,-8%/9%(阴),1%,3%,1%,1%,15%,11%
300563,神宇股份,2023-09-06,6.88,14.04,18.86,182.68%,-13%/-1%(阴),-9%,-13%,-18%,-20%,-14%,-19%
300563,神宇股份,2024-07-09,4.75,7.73,16.33,134.55%,1%/11%(阳),14%,12%,9%,15%,11%,0%
300566,激智科技,2022-08-18,6.15,13.81,14.38,154.94%,1%/11%(阴),7%,7%,1%,-5%,-5%,-11%
300567,精测电子,2024-11-11,2.7,7.38,13.86,161.82%,-2%/6%(阴),-1%,-1%,-6%,-12%,-12%,-10%
300572,安车检测,2025-08-06,11.87,13.68,23.68,192.8%,-10%/8%(阴),-9%,-13%,-13%,-15%,-17%,-18%
300576,容大感光,2023-09-06,0.0,13.12,22.73,116.27%,-6%/6%(阴),10%,9%,1%,-3%,2%,-2%
300588,熙菱信息,2022-03-09,6.07,19.2,22.44,187.93%,-6%/14%(阴),3%,-5%,-8%,-10%,-7%,-5%
300588,熙菱信息,2024-10-08,17.72,17.02,18.22,154.11%,-14%/-2%(阴),-10%,-5%,7%(板),19%,22%,11%
300589,江龙船艇,2025-06-20,5.7,14.85,22.38,255.67%,-8%/-1%(阴),-12%,-1%,8%,6%,2%,11%
300590,移为通信,2026-04-23,2.02,2.44,2.8,1015.61%,-5%/4%(阴),0%,2%,3%,2%,5%,7%
300591,万里马,2020-10-15,8.16,18.41,32.88,111.88%,-6%/18%(阳),8%,3%,17%,12%,5%,-5%
300598,诚迈科技,2022-10-26,4.08,5.66,21.44,175.2%,6%/18%(阳),14%,28%,26%,22%,15%,10%
300598,诚迈科技,2025-08-19,4.93,5.66,19.48,218.77%,-1%/9%(阳),9%,8%,19%,12%,6%,4%
300599,雄塑科技,2026-01-05,8.52,12.12,19.88,195.56%,-8%/0%(阴),-4%,2%,7%,7%,5%,9%
300603,立昂技术,2025-02-10,4.61,6.11,19.24,282.85%,-5%/10%(阳),6%,8%,12%,18%,3%,1%
300605,恒锋信息,2022-02-23,3.21,16.1,19.91,153.95%,-19%/-5%(阴),-11%,-16%,-16%,-6%,-10%,-12%
300607,拓斯达,2025-05-12,5.91,12.44,17.01,235.86%,2%/9%(阴),4%,4%,12%,5%,1%,-2%
300609,汇纳科技,2024-10-08,14.82,16.44,10.48,195.13%,-8%/10%(阳),8%,-2%,1%,7%,4%,3%
300612,宣亚国际,2023-03-22,3.86,5.49,5.16,169.53%,-1%/13%(阴),3%,2%,10%,4%,-1%,-2%
300615,欣天科技,2021-06-03,3.84,10.08,22.27,357.53%,-5%/5%(阳),12%,11%,19%,21%,11%,8%
300616,尚品宅配,2024-09-26,7.86,16.5,23.22,159.34%,2%/12%(阴),28%,44%,14%,6%,2%,1%
300619,金银河,2021-08-06,15.57,22.38,22.86,116.25%,-3%/21%(板),34%,17%,8%,26%(板),21%,15%
300619,金银河,2025-03-03,3.73,11.25,13.39,145.18%,-8%/4%(阳),-4%,-5%,-7%,-8%,-6%,-5%
300623,捷捷微电,2024-09-30,16.47,14.14,12.81,166.18%,20%/20%(板),44%(板),46%,32%,49%,62%,48%
300624,万兴科技,2026-01-12,9.5,10.57,18.12,164.72%,6%/16%(阴),23%,10%,8%,0%,-2%,-5%
300630,未找到标的,2025-03-11,11.59,15.94,24.03,141.42%,-20%/0%(阳),-18%,-24%,-27%,-29%,-27%,-29%
300631,久吾高科,2021-07-05,18.02,22.59,21.84,113.99%,1%/17%(阳),33%(板),45%,36%,45%,30%,29%
300634,彩讯股份,2021-06-30,7.4,13.53,15.42,200.05%,-5%/15%(阳),19%,12%,7%,5%,2%,-1%
300637,扬帆新材,2023-09-06,1.8,6.16,21.69,313.23%,3%/17%(阳),8%,1%,-6%,9%(板),14%,9%
300638,广和通,2025-01-21,16.81,20.13,7.03,158.39%,-7%/0%(阴),2%,6%,12%,12%,28%,31%
300642,透景生命,2024-08-16,1.73,6.64,21.2,293.85%,7%/17%(阴),7%,-5%,-8%,-11%,-18%,-9%
300644,南京聚隆,2024-04-25,10.29,13.91,9.06,303.37%,-6%/10%(阴),-7%,-10%,-8%,-3%,-6%,-8%
300644,南京聚隆,2025-07-17,3.21,4.98,15.76,241.12%,-1%/9%(阴),15%,5%,-1%,-2%,-4%,2%
300650,太龙股份,2024-06-03,6.91,11.16,21.57,412.38%,-3%/10%(阳),0%,0%,-8%,-7%,-8%,-2%
300657,弘信电子,2024-11-11,7.99,14.2,11.05,137.36%,-1%/9%(阴),-1%,-5%,-6%,-7%,-13%,-9%
300658,延江股份,2026-01-19,11.68,13.26,24.9,287.59%,6%/19%(阳),23%,17%,9%,11%,3%,1%
300670,大烨智能,2020-10-26,5.78,14.5,10.62,216.94%,-10%/1%(阴),-5%,-9%,-12%,-18%,-3%(板),5%
300671,富满微,2025-08-07,2.54,4.32,19.52,376.5%,-2%/5%(阴),-2%,12%,10%,7%,4%,4%
300672,国科微,2024-09-30,10.31,10.44,15.4,191.15%,15%/21%(板),38%,24%,14%,11%,16%,9%
300673,佩蒂股份,2022-08-16,2.96,7.81,13.1,771.13%,-3%/1%(阳),1%,0%,0%,6%,5%,6%
300675,建科院,2021-12-06,9.1,20.58,22.23,140.57%,-3%/20%(阳),8%,8%,3%,-1%,1%,7%
300676,华大基因,2023-03-27,6.26,5.92,18.39,271.68%,-2%/6%(阴),-1%,-8%,-7%,-4%,-5%,0%
300678,中科信息,2023-04-19,12.92,14.89,22.31,165.9%,-6%/12%(阳),19%,24%,43%(板),59%,44%,54%(板)
300681,英搏尔,2021-07-23,11.59,18.34,21.98,146.2%,3%/21%(板),43%,36%,52%,49%,62%,52%
300684,中石科技,2026-07-06,6.91,11.86,19.93,198.95%,-8%/-1%(阴),-5%,-8%,0%,-5%,-10%,-6%
300686,智动力,2024-08-29,8.91,21.78,19.74,160.08%,10%/21%(阴),32%,6%,-2%,-9%,-11%,-13%
300687,赛意信息,2024-10-08,19.88,15.07,13.5,133.93%,-12%/7%(阴),-6%,-11%,-10%,-9%,-13%,-9%
300691,联合光电,2024-08-16,4.3,8.08,0.0,155.91%,-14%/0%(阴),-13%,-18%,-19%,-21%,-20%,-22%
300701,森霸传感,2024-12-10,3.13,6.46,20.9,465.88%,-10%/-4%(阴),-6%,-7%,-10%,-12%,-14%,-14%
300706,阿石创,2026-06-11,6.74,10.04,21.71,135.43%,2%/16%(阴),16%,23%,18%,16%,16%,11%
300707,威唐工业,2022-06-27,5.84,11.37,21.3,196.7%,-6%/4%(阴),-7%,-14%,-13%,-11%,-11%,-14%
300709,精研科技,2023-10-30,12.19,9.78,16.41,142.78%,0%/10%(阴),23%,23%,11%,19%,17%,18%
300709,精研科技,2024-08-26,8.15,12.95,19.29,124.27%,-13%/-2%(阴),-7%,4%,12%,10%,3%,2%
300711,广哈通信,2020-09-25,-4.66,15.34,20.84,233.88%,-7%/0%(阴),9%,22%,33%(板),60%(板),76%,65%
300711,广哈通信,2024-10-08,16.22,17.74,18.42,131.04%,-16%/-3%(阴),-12%,-13%,-14%,-9%,-12%,-12%
300719,安达维尔,2024-10-08,15.86,16.95,18.88,129.83%,-10%/10%(阳),4%,-4%,-3%,2%,-3%,-3%
300724,捷佳伟创,2024-09-30,14.52,12.4,12.61,163.58%,5%/21%(板),17%,8%,1%,-3%,-3%,-10%
300727,润禾材料,2020-10-19,2.01,10.09,21.08,171.41%,6%/20%(板),42%,29%,26%,19%,19%,14%
300727,润禾材料,2025-08-18,11.91,15.6,15.92,145.79%,-6%/0%(阴),-6%,-8%,-12%,-2%,-9%,-7%
300730,科创信息,2024-10-08,18.86,19.12,12.65,129.86%,-20%/-3%(阴),-11%,-16%,-16%,-15%,-20%,-16%
300742,未找到标的,2023-12-08,8.8,13.0,20.77,164.73%,-3%/20%(阳),8%,3%,-11%,-13%,-19%,-21%
300746,汉嘉数智,2021-06-25,6.35,7.23,22.22,332.65%,-3%/13%(阴),1%,4%,-2%,2%,-1%,-3%
300746,汉嘉数智,2022-02-16,9.91,20.41,21.99,215.34%,-3%/11%(阴),3%,-6%,-2%,-8%,-5%,6%
300746,汉嘉数智,2025-04-25,6.82,11.85,22.94,143.13%,-8%/-1%(阴),-6%,-5%,-7%,6%,-2%,-1%
300749,顶固集创,2023-09-04,1.84,6.61,17.87,526.5%,-3%/10%(阳),5%,6%,-11%,-19%,-19%,-16%
300757,罗博特科,2024-10-08,18.35,19.78,9.27,115.25%,-1%/20%(阳),23%,14%,28%(板),35%,26%,16%
300758,七彩化学,2026-01-14,4.39,7.81,22.29,170.25%,17%/20%(板),17%,4%,16%,8%,14%,21%
300765,石药创新,2021-12-02,10.55,11.31,10.57,446.83%,-10%/3%(阳),4%,2%,2%,-1%,-4%,-7%
300766,每日互动,2024-10-08,18.33,18.49,13.93,137.95%,-16%/-2%(阴),-7%,-16%,-16%,-13%,-14%,-14%
300768,迪普科技,2024-10-28,13.63,12.47,17.38,186.36%,-4%/13%(阳),2%,4%,-5%,-13%,-8%,-7%
300769,德方纳米,2026-04-29,1.45,4.45,19.15,196.96%,10%/18%(阳),26%,32%,38%,29%,25%,28%
300773,拉卡拉,2025-04-22,13.24,21.54,12.64,195.67%,8%/18%(阳),7%,1%,-3%,-10%,-13%,-14%
300778,新城市,2023-03-07,0.97,1.6,19.97,688.45%,-4%/20%(板),43%(板),48%,38%,33%,25%,26%
300778,新城市,2024-04-01,3.71,9.99,19.82,106.77%,1%/15%(阳),2%,-5%,-7%,-10%,-11%,-10%
300786,国林科技,2024-12-04,8.47,18.03,11.39,208.73%,-16%/-10%(阴),-15%,-18%,-15%,-18%,-18%,-16%
300793,佳禾智能,2021-06-17,1.45,7.33,19.09,261.78%,2%/17%(阳),9%,3%,-1%,4%,-1%,-6%
300797,钢研纳克,2025-08-28,1.64,3.48,18.71,235.94%,3%/18%(阳),8%,16%,5%,-1%,-5%,-3%
300799,未找到标的,2021-11-22,6.0,8.65,19.54,305.34%,-3%/11%(阳),6%,3%,1%,-3%,-2%,13%
300799,未找到标的,2022-06-27,5.57,8.7,18.48,222.92%,-10%/0%(阴),-5%,-5%,-5%,-10%,-10%,-12%
300801,泰和科技,2025-09-03,0.24,5.58,22.58,144.82%,-11%/0%(阴),-5%,7%,13%,4%,-2%,-3%
300801,泰和科技,2025-11-13,8.74,16.09,11.63,123.68%,-9%/4%(阴),-7%,-12%,-15%,-19%,-26%,-29%
300802,矩子科技,2021-07-02,4.42,15.85,24.99,185.47%,-5%/10%(阴),9%,4%,-2%,-5%,-5%,-7%
300803,指南针,2025-06-25,11.98,15.96,21.22,160.54%,-1%/10%(阳),7%,3%,3%,0%,-2%,3%
300806,斯迪克,2026-01-27,13.93,9.62,19.28,104.13%,-4%/12%(阴),10%,20%,15%,16%,8%,3%
300809,华辰装备,2020-11-04,3.53,12.94,12.41,237.18%,-15%/-5%(阳),9%,-1%,-7%,-15%,-16%,-18%
300809,华辰装备,2023-09-26,3.73,6.49,20.55,186.4%,4%/19%(阳),10%,2%,1%,-3%,0%,-6%
300810,中科海讯,2025-06-26,6.7,13.58,19.01,116.19%,-3%/10%(阴),5%,20%,35%,27%,10%,5%
300812,易天股份,2026-02-13,3.57,12.44,21.64,157.48%,-5%/13%(阳),4%,14%,9%,18%,13%,18%
300814,中富电路,2023-05-29,4.88,5.92,21.77,287.57%,-3%/6%(阴),1%,-4%,-7%,-6%,-8%,-7%
300815,玉禾田,2025-05-28,8.58,13.19,17.8,245.17%,5%/20%(板),33%,12%,3%,2%,-7%,-6%
300815,玉禾田,2025-08-12,15.02,19.79,13.79,176.65%,2%/20%(阳),7%,6%,11%,3%,-3%,-3%
300819,聚杰微纤,2020-10-15,9.24,17.35,24.9,118.73%,5%/20%(板),43%,34%,42%,48%,40%,34%
300819,聚杰微纤,2024-05-15,7.24,13.83,22.69,222.43%,-6%/12%(阴),3%,-5%,-3%,-6%,-7%,-9%
300820,英杰电气,2024-11-11,8.9,8.23,15.16,154.28%,-1%/7%(阴),1%,-2%,-8%,-7%,-9%,-9%
300824,北鼎股份,2025-04-25,10.41,12.22,18.67,129.01%,-7%/8%(阴),-5%,-1%,2%,0%,-3%,0%
300827,上能电气,2020-10-09,11.0,13.73,9.84,143.1%,-2%/8%(阴),1%,0%,-4%,-6%,-7%,-9%
300828,锐新科技,2023-06-13,4.54,9.51,21.25,307.84%,-7%/2%(阴),-2%,-4%,-1%,0%,1%,-4%
300828,锐新科技,2024-12-04,2.42,6.72,21.3,244.85%,1%/12%(阳),7%,4%,6%,1%,3%,7%
300830,金现代,2022-10-27,3.5,4.34,18.27,977.78%,-9%/0%(阴),-6%,-5%,-6%,-4%,-6%,-6%
300830,金现代,2026-01-12,12.87,21.74,15.62,193.16%,-10%/0%(阴),3%,-7%,-11%,-12%,-6%,6%
300831,ST派瑞,2021-11-18,9.18,13.58,17.77,246.72%,-7%/5%(阴),19%,10%,6%,15%,26%,20%
300835,龙磁科技,2026-05-25,17.07,16.72,18.0,135.03%,-6%/6%(阴),2%,13%,13%,10%,15%,14%
300839,博汇股份,2025-07-15,6.47,10.91,20.57,141.39%,-1%/15%(阳),15%,7%,15%,7%,2%,1%
300845,捷安高科,2025-05-14,3.95,4.09,18.92,333.11%,-10%/-2%(阴),-10%,-12%,-11%,-12%,-15%,-15%
300848,美瑞新材,2022-07-29,4.14,4.51,7.44,678.52%,2%/21%(阳),31%,23%,22%,36%,32%,40%
300849,锦盛新材,2020-10-22,2.31,6.92,21.21,204.22%,8%/20%(阴),8%,3%,-7%,-11%,-12%,-16%
300850,新强联,2024-07-24,3.01,10.68,21.26,234.53%,-5%/5%(阳),13%,5%,2%,-1%,0%,0%
300857,协创数据,2023-11-16,13.43,13.07,22.76,203.33%,-9%/8%(阳),10%,20%,15%,15%,17%,36%
