股票代码,股票名称,D-0日期,D-1涨幅,D-1振幅,D-0振幅,D-0/D-1成交额百分比,T+0(低/高),T+1最高价,T+2最高价,T+3最高价,T+4最高价,T+5最高价,T+6最高价
688200,华峰测控,2024-10-08,15.51,14.33,6.67,190.86%,-10%/5%(阴),-5%,-9%,-13%,-13%,-14%,-19%
688201,ST信安,2024-10-08,17.92,14.94,13.11,143.89%,-7%/18%(阴),4%,-4%,-5%,4%,3%,8%
688205,德科立,2024-10-08,15.43,15.76,12.81,148.52%,-12%/-1%(阴),-8%,-14%,-6%,-5%,-7%,-1%
688209,英集芯,2024-10-08,17.81,13.74,5.69,185.97%,-3%/18%(阳),7%,0%,-5%,-6%,-11%,-11%
688210,统联精密,2025-07-24,12.54,14.15,16.09,100.07%,-3%/6%(阳),5%,10%,7%,5%,12%,16%
688213,思特威,2024-10-08,19.26,16.28,7.54,237.3%,-9%/11%(阳),5%,0%,-7%,-4%,-8%,-2%
688220,翱捷科技,2024-10-08,17.33,13.54,6.4,145.15%,-3%/14%(阳),5%,-4%,-10%,-9%,-13%,-14%
688226,威腾电气,2022-08-10,0.59,4.11,21.15,512.7%,4%/20%(板),19%,26%,32%,47%,41%,35%
688230,芯导科技,2024-10-08,16.33,11.96,5.8,183.76%,-4%/11%(阳),3%,-5%,-11%,-5%,-9%,-7%
688232,新点软件,2024-09-30,19.82,17.51,11.93,192.93%,14%/20%(板),29%,18%,3%,23%(板),44%,22%
688233,神工股份,2024-10-08,19.12,15.88,5.33,158.66%,-6%/10%(阴),0%,-9%,-13%,-10%,-16%,-16%
688244,永信至诚,2024-10-08,19.95,14.69,11.69,152.4%,-12%/1%(阴),-6%,-14%,-14%,-13%,-14%,-2%
688252,天德钰,2024-07-16,1.43,7.47,20.04,184.59%,-5%/1%(阴),4%,2%,-1%,-5%,-9%,-11%
688252,天德钰,2024-10-08,15.47,12.85,11.87,153.29%,-9%/6%(阴),-7%,1%,10%(板),21%,13%,14%
688259,创耀科技,2025-03-19,6.81,10.61,10.44,218.92%,-6%/4%(阴),-4%,-11%,-1%,-5%,-4%,-6%
688260,昀冢科技,2024-10-08,15.44,13.49,18.81,155.48%,-14%/0%(阴),-10%,-17%,-12%,-10%,-17%,-14%
688270,ST臻镭,2024-10-08,18.42,16.45,12.26,137.74%,-7%/12%(阳),1%,-9%,-12%,-10%,-12%,-3%
688279,峰岹科技,2024-10-08,16.73,14.5,13.38,248.69%,-14%/4%(阴),-8%,-15%,-14%,-12%,-13%,-12%
688280,精进电动,2022-06-02,5.91,20.89,22.14,100.37%,0%/20%(板),17%,1%,-4%,0%,0%,-5%
688285,高铁电气,2022-05-31,3.08,3.46,22.01,964.93%,-4%/5%(阴),8%,7%,3%,-1%,-5%,-10%
688286,敏芯股份,2024-10-08,16.91,14.06,10.04,155.65%,-14%/-1%(阴),-7%,-14%,-15%,-7%,-11%,-12%
688292,浩瀚深度,2024-10-08,18.78,15.5,11.83,176.21%,-9%/1%(阴),-5%,-15%,-18%,-15%,-18%,-12%
688295,中复神鹰,2026-03-12,14.16,18.31,3.75,150.3%,1%/16%(阳),20%,37%(板),40%,47%,45%,33%
688297,中无人机,2024-10-23,11.66,23.63,23.08,207.16%,-8%/1%(阴),3%,1%,-5%,-7%,-7%,-8%
688301,奕瑞科技,2021-04-19,5.11,6.84,17.03,223.74%,-2%/3%(阳),1%,9%,11%,11%,14%,14%
688305,科德数控,2021-08-23,10.7,21.66,16.0,128.66%,-4%/10%(阴),-3%,1%,-2%,4%,7%,2%
688317,之江生物,2022-05-23,16.34,16.2,10.56,190.88%,-4%/7%(阴),-3%,-12%,-16%,-16%,-18%,-21%
688325,赛微微电,2024-10-08,16.85,15.09,11.81,188.17%,-7%/7%(阳),0%,-9%,-2%,1%,-7%,-4%
688328,深科达,2024-10-08,16.2,15.32,13.38,185.19%,-12%/10%(阳),-1%,-11%,-14%,-13%,-16%,-16%
688332,中科蓝讯,2024-10-08,15.77,14.04,11.93,283.52%,-12%/-1%(阴),-8%,-14%,-14%,-10%,-15%,-9%
688335,复洁科技,2025-09-29,10.01,18.76,13.24,138.5%,-9%/7%(阴),-5%,-8%,-13%,-10%,-23%,-19%
688343,云天励飞,2025-02-06,11.61,9.07,16.12,150.81%,-2%/8%(阴),15%,10%,9%,5%,3%,7%
688345,博力威,2025-09-08,11.21,15.05,20.34,154.55%,-7%/9%(阳),0%,-2%,-4%,-4%,-7%,-7%
688347,华虹宏力,2024-10-08,16.8,15.37,5.24,211.66%,-7%/11%(阳),1%,-8%,-12%,-9%,-13%,-13%
688352,颀中科技,2024-10-08,19.67,15.24,9.12,214.12%,-8%/4%(阴),-5%,-11%,-14%,-11%,-13%,-11%
688353,华盛锂电,2025-11-06,6.0,11.09,16.99,146.14%,3%/21%(阳),42%(板),64%,58%,84%(板),120%,138%
688357,建龙微纳,2022-11-14,11.61,17.53,19.91,149.92%,-3%/7%(阴),-2%,-5%,-5%,-11%,-10%,-13%
688365,光云科技,2024-10-08,19.22,15.77,13.22,160.67%,-5%/10%(阴),-2%,-8%,-14%,-10%,-13%,-10%
688365,光云科技,2026-01-12,11.9,14.48,15.59,116.89%,4%/21%(阳),39%(板),26%,10%,13%,12%,8%
688375,国博电子,2026-01-12,12.91,18.92,17.28,108.61%,-16%/14%(阳),14%,5%,-10%,-11%,-13%,-18%
688381,帝奥微,2025-08-19,2.52,4.01,19.6,399.45%,-7%/0%(阴),-2%,-2%,-5%,-9%,-8%,-11%
688395,正弦电气,2025-03-10,3.94,8.23,15.31,431.26%,-1%/16%(阳),21%,15%,1%,12%,10%,12%
688396,华润微,2024-10-08,18.41,14.54,3.86,152.93%,-4%/15%(阳),4%,0%,-7%,-8%,-12%,-13%
688416,恒烁股份,2023-04-11,9.21,19.45,16.64,163.53%,-3%/13%(阴),-3%,-4%,-4%,-1%,-2%,-3%
688416,恒烁股份,2024-10-08,18.86,15.81,11.39,208.72%,-11%/0%(阴),-7%,-13%,-17%,-15%,-17%,-15%
688420,美腾科技,2023-04-11,6.47,14.1,18.77,106.37%,-4%/2%(阴),-4%,-5%,-8%,-10%,-7%,-9%
688435,英方软件,2025-11-03,7.45,9.38,18.28,275.66%,-5%/4%(阳),2%,8%,7%,21%,25%,34%
688439,振华风光,2024-10-08,18.56,15.49,7.48,181.32%,-9%/4%(阳),-4%,-11%,-15%,-13%,-17%,-17%
688448,磁谷科技,2025-05-08,-0.04,7.36,15.85,442.62%,1%/18%(阴),5%,16%,11%,4%,0%,-3%
688458,美芯晟,2024-10-08,18.98,16.47,12.35,210.79%,-8%/5%(阴),-6%,-11%,-13%,-7%,-10%,-12%
688478,晶升股份,2024-10-08,17.59,14.78,11.89,203.42%,-8%/3%(阳),-4%,-14%,-17%,-16%,-21%,-20%
688486,龙迅股份,2024-10-08,17.16,15.56,9.85,200.9%,-8%/7%(阴),-2%,-8%,-13%,-9%,-13%,-10%
688489,三未信安,2024-10-08,19.89,16.25,16.73,171.94%,-11%/3%(阴),-4%,-7%,-14%,-10%,-15%,-10%
688496,*ST清越,2023-11-20,13.52,16.08,14.22,227.82%,-10%/-3%(阴),-9%,-14%,-14%,-14%,-4%,-10%
688498,源杰科技,2024-10-08,18.83,15.6,6.1,147.37%,-6%/11%(阴),4%,-6%,-8%,-4%,-9%,-4%
688512,慧智微,2024-10-08,16.4,13.41,12.34,182.42%,-10%/3%(阴),-8%,-15%,-18%,-16%,-21%,-20%
688523,航天环宇,2026-01-06,11.13,15.62,25.68,109.07%,-10%/9%(阳),9%,13%,26%,15%,3%,-9%
688530,欧莱新材,2024-10-08,15.05,17.51,13.13,192.64%,-14%/-3%(阴),-10%,-16%,-20%,-18%,-21%,-21%
688530,欧莱新材,2026-06-11,13.35,19.57,19.79,165.75%,-16%/2%(阴),-11%,-4%,-4%,2%,17%,28%
688535,华海诚科,2024-10-08,19.16,15.5,12.56,170.61%,-10%/18%(阳),13%,1%,-11%,-8%,-14%,-13%
688551,科威尔,2025-08-08,12.29,14.82,11.67,126.16%,2%/17%(阳),11%,6%,5%,0%,4%,3%
688552,航天南湖,2025-05-08,9.13,16.13,22.2,196.36%,-2%/21%(阳),33%(板),44%,33%,26%,21%,22%
688556,高测股份,2024-09-30,10.52,8.66,11.88,335.68%,9%/21%(阴),17%,8%,-4%,-9%,-7%,-11%
688568,中科星图,2024-10-08,16.59,13.2,12.09,188.95%,-13%/-2%(阴),-6%,-14%,-16%,-15%,-18%,-14%
688568,中科星图,2026-01-12,8.05,15.02,16.81,119.85%,-10%/20%(阳),26%,13%,8%,3%,0%,-4%
688589,力合微,2024-10-08,17.7,14.62,10.22,224.32%,-6%/15%(阳),3%,-7%,-9%,-3%,-7%,-5%
