股票代码,股票名称,D-0日期,D-0涨幅,D-0振幅,D-0最低价,D-0最高价,D-1振幅,D-0/D-1成交额百分比,T+0(低/高),T+1最高价,T+2最高价,T+3最高价,T+4最高价,T+5最高价,T+6最高价
300404,博济医药,2026-01-14,-4.18,9.91,-10.53,-0.62,17.73,164.51%,-9%/-4%(阴),-8%,-11%,-11%,-12%,-13%,-11%
300405,科隆股份,2021-08-02,-4.79,7.36,-5.82,+1.54,19.32,95.29%,-6%/2%(阴),-1%,-3%,2%,1%,0%,0%
300405,科隆股份,2021-08-25,-9.2,9.36,-11.08,-1.73,9.62,99.08%,-1%/8%(阳),6%,-1%,2%,-3%,-1%,0%
300410,正业科技,2021-08-06,2.47,6.92,-2.33,+4.59,19.14,97.54%,-6%/0%(阴),1%,6%,2%,15%,9%,-3%
300410,正业科技,2022-08-12,-2.95,10.07,-3.82,+6.25,14.79,152.62%,-3%/1%(阳),1%,-1%,-3%,-3%,-8%,-6%
300411,金盾股份,2024-10-22,-0.06,19.31,-0.91,+18.39,19.96,153.75%,-5%/17%(阳),11%,17%,24%,14%,15%,15%
300412,迦南科技,2024-12-03,2.15,12.57,+1.44,+14.00,19.61,238.46%,-6%/0%(阴),-3%,-5%,12%,15%,6%,3%
300414,中光防雷,2023-08-30,-1.46,8.32,-2.23,+6.09,19.44,111.21%,-2%/1%(阳),-1%,-3%,-3%,-2%,4%,3%
300417,南华仪器,2021-03-12,-3.01,13.14,-3.60,+9.54,20.44,305.42%,-5%/8%(阳),27%(板),48%,55%,60%,57%,52%
300418,昆仑万维,2023-12-04,1.44,4.51,+0.80,+5.31,19.54,127.97%,-6%/-1%(阴),-2%,2%,7%,7%,9%,6%
300418,昆仑万维,2025-05-23,-2.3,6.31,-2.73,+3.58,17.41,97.13%,3%/8%(阴),3%,-1%,-2%,-5%,-7%,-4%
300418,昆仑万维,2025-08-25,-1.76,5.39,-3.56,+1.83,18.69,81.51%,-4%/-2%(阴),-1%,-4%,-1%,-2%,7%,5%
300421,力星股份,2024-08-22,-9.24,10.49,-10.49,+0.00,21.59,130.76%,-7%/-4%(阴),1%,-1%,-2%,-1%,3%,-1%
