股票代码,股票名称,D-0日期,D-3振幅,D-2涨幅,D-2振幅,D-1振幅,D-0振幅,D-3~D-1区间涨幅,D-3~D-1区间振幅,D-0/D-1成交额百分比,T+0(低/高),T+1最高价,T+2最高价,T+3最高价,T+4最高价,T+5最高价,T+6最高价
300359,全通教育,2022-06-16,10.25,-2.96,4.14,10.37,18.77,9.21%,16.11%,198.86%,-7%/4%(阴),8%,-3%,-5%,-9%,-9%,-10%
300379,未找到标的,2024-09-30,9.17,1.08,6.1,13.58,16.54,14.9%,22.16%,150.97%,13%/21%(板),42%,26%,19%,21%,28%,21%
300419,ST浩丰,2024-09-30,10.76,-0.38,3.4,11.74,15.03,13.94%,16.93%,215.52%,7%/20%(板),16%,6%,1%,0%,3%,2%
300442,润泽科技,2026-01-12,10.06,-1.27,5.58,15.98,18.55,20.08%,25.28%,123.98%,-8%/7%(阴),12%,5%,1%,-4%,-6%,-8%
300451,创业慧康,2025-02-10,13.05,2.89,6.22,10.15,15.96,21.92%,21.92%,194.52%,-6%/7%(阴),4%,4%,20%,25%,12%,5%
300464,星徽股份,2021-11-30,10.4,-3.19,4.49,14.15,19.44,8.94%,14.2%,209.69%,-6%/3%(阴),-7%,-13%,-16%,-17%,-17%,-16%
300465,高伟达,2024-09-30,10.59,0.7,4.42,8.89,16.9,14.41%,15.89%,164.83%,8%/21%(板),35%,18%,16%,19%,32%,22%
300516,久之洋,2025-11-24,8.81,-1.89,3.13,21.39,23.27,20.33%,26.07%,116.02%,0%/12%(阳),2%,-10%,-11%,-11%,-7%,-3%
300542,新晨科技,2024-03-21,8.68,-4.0,3.49,8.16,21.83,10.05%,13.24%,276.29%,-10%/-3%(阴),-4%,-9%,-15%,-9%,-9%,-10%
300608,思特奇,2024-09-30,8.39,1.98,4.95,10.1,17.27,11.22%,14.26%,163.25%,4%/21%(板),17%,7%,1%,6%,9%,2%
300631,久吾高科,2022-11-04,17.27,0.51,4.89,13.93,18.83,19.76%,26.6%,195.12%,0%/15%(阴),5%,4%,0%,1%,-5%,-6%
300688,创业黑马,2021-08-31,6.96,0.61,5.49,14.9,22.53,12.55%,20.14%,183.48%,3%/20%(板),31%,51%,72%,55%,51%,47%
300696,爱乐达,2025-08-04,6.24,1.27,5.63,10.48,20.4,6.49%,10.65%,125.06%,3%/17%(阳),15%,7%,14%,12%,7%,7%
300806,斯迪克,2026-04-17,11.73,-1.01,3.94,8.62,19.32,8.17%,14.5%,174.52%,-1%/6%(阳),7%,8%,8%,6%,13%,13%
300807,天迈科技,2026-05-07,4.16,1.96,3.73,6.53,3.57,7.94%,10.58%,197.64%,-11%/-4%(阴),-9%,-15%,-16%,-17%,-22%,-24%
300827,上能电气,2025-09-03,5.44,-0.04,2.21,6.91,19.97,2.58%,8.99%,202.33%,3%/20%(阳),23%,21%,27%,18%,12%,17%
300835,龙磁科技,2021-11-01,6.43,0.35,5.14,10.71,19.36,16.58%,13.82%,141.67%,-2%/7%(阴),0%,6%,5%,18%,20%,23%
300842,帝科股份,2021-06-24,7.16,0.0,4.47,11.29,20.87,12.06%,15.04%,221.42%,-4%/11%(阳),5%,9%,13%,10%,21%,-3%
300843,胜蓝股份,2024-05-17,19.53,-3.74,5.04,13.16,22.72,20.46%,26.44%,107.42%,0%/16%(阳),6%,22%,21%,20%,15%,8%
300866,安克创新,2021-11-24,14.15,-0.23,6.4,9.17,18.22,16.96%,19.42%,280.86%,-9%/0%(阴),-7%,-12%,-12%,-12%,-15%,-17%
300872,天阳科技,2024-09-30,3.83,2.09,3.3,8.0,15.34,13.7%,13.26%,274.86%,13%/21%(板),22%,12%,5%,7%,18%,17%
300882,万胜智能,2023-05-15,15.38,-2.51,3.74,9.86,22.0,17.63%,21.92%,200.67%,-4%/21%(板),43%,40%,38%,40%,27%,28%
300905,宝丽迪,2024-04-16,11.32,-7.44,6.04,18.71,22.46,17.84%,21.13%,131.41%,10%/21%(板),43%,31%,19%,22%(板),31%,41%
300925,法本信息,2021-06-11,4.01,-1.29,3.75,19.53,19.65,10.41%,20.09%,181.81%,-49%/-43%(阴),-40%,-43%,-45%,-45%,-39%,-36%
301001,凯淳股份,2025-11-26,10.74,2.92,6.49,6.82,21.69,8.76%,12.22%,157.7%,-12%/-3%(阴),-14%,-14%,-16%,-18%,-20%,-22%
301007,德迈仕,2023-07-04,9.32,2.25,12.46,16.59,24.79,17.64%,29.52%,140.03%,1%/16%(阳),30%,29%,21%,15%,21%,6%
301021,英诺激光,2024-11-15,23.04,-0.29,14.58,12.44,20.59,17.17%,27.01%,167.21%,-19%/0%(阴),-10%,5%,-6%,-7%,-17%,-19%
