股票代码,股票名称,D-0日期,D-5振幅,D-3振幅,D-5~D-3区间涨幅,D-5~D-3区间振幅,D-2~D-1区间涨幅,D-2~D-1区间振幅,D-0振幅,D-0/D-3成交额百分比,T+0(低/高),T+1最高价,T+2最高价,T+3最高价,T+4最高价,T+5最高价,T+6最高价
688273,麦澜德,2026-01-05,8.13,10.68,15.82%,13.04%,1.89%,6.57%,9.74,154.65%,10%/19%(板),17%,15%,8%,11%,8%,6%
688389,普门科技,2020-02-03,8.2,8.89,10.56%,17.05%,-7.21%,9.45%,33.67,212.31%,-12%/12%(阳),20%,40%,37%,21%,18%,16%
688626,翔宇医疗,2026-01-05,9.24,14.41,10.11%,17.56%,2.11%,7.41%,4.13,105.62%,14%/20%(板),30%,21%,14%,19%,30%,19%
688767,博拓生物,2026-01-05,3.84,8.84,1.13%,8.6%,-6.35%,6.25%,11.78,388.08%,2%/12%(阴),6%,5%,1%,5%,4%,2%
688778,厦钨新能,2025-09-05,12.29,7.79,13.95%,18.69%,-6.85%,11.91%,19.93,146.64%,5%/19%(阳),27%,24%,30%,32%,28%,23%
300195,长荣股份,2025-03-03,3.87,4.47,4.84%,6.45%,-5.54%,6.92%,20.68,350.98%,-5%/3%(阴),-5%,0%,-2%,-6%,-8%,-7%
300276,三丰智能,2020-09-01,6.77,13.58,10.44%,14.89%,-3.85%,4.2%,21.49,347.08%,-3%/17%(阳),4%,2%,7%,10%,17%,2%
300333,兆日科技,2024-08-30,21.9,18.13,15.27%,28.32%,0.0%,7.68%,19.96,109.22%,-8%/-1%(阴),-7%,-8%,-3%,-6%,-14%,-15%
300415,伊之密,2022-06-10,17.6,8.67,20.26%,21.62%,-6.18%,7.38%,20.31,146.6%,3%/12%(阴),5%,7%,7%,7%,13%,1%
300435,中泰股份,2021-08-16,10.76,10.66,6.55%,14.34%,-1.42%,7.25%,19.63,188.75%,3%/20%(板),42%,23%,22%,34%,31%,41%
300586,美联新材,2021-08-18,8.95,8.0,8.75%,11.27%,-7.31%,7.03%,19.96,161.05%,-12%/2%(阴),-7%,-4%,-7%,-8%,-8%,-11%
300836,佰奥智能,2020-10-28,6.89,7.85,1.25%,9.57%,5.25%,14.67%,21.1,431.6%,-12%/-6%(阴),-13%,-8%(板),6%,-4%,-1%,-5%
