股票代码,股票名称,D-0日期,D-2振幅,D-1振幅,D-0振幅,D-2/D-1区间涨幅,D-2/D-1区间振幅,D-0/D-1成交额百分比,T+0(低/高),T+1最高价,T+2最高价,T+3最高价,T+4最高价,T+5最高价,T+6最高价
300464,星徽股份,2025-09-30,8.82,9.37,19.07,13.76%,15.17%,144.79%,1%/13%(阳),9%,8%,12%,9%,-1%,5%
300473,德尔股份,2025-03-03,20.02,15.58,18.86,21.76%,28.18%,123.57%,-16%/-5%(阴),-12%,-7%,-13%,-15%,-16%,-14%
300476,胜宏科技,2024-10-08,13.91,16.65,16.12,28.69%,29.37%,146.19%,-13%/5%(阴),-6%,-11%,-8%,-6%,-13%,-6%
300477,ST合纵,2021-07-09,11.49,8.05,21.95,9.22%,16.03%,183.85%,2%/13%(阴),4%,10%,6%,9%,12%,16%
300485,赛升药业,2022-01-18,8.31,15.49,26.54,14.7%,18.34%,251.06%,-8%/2%(阳),-2%,-15%,-25%,-26%,-26%,-24%
300486,东杰智能,2025-08-01,9.98,8.96,22.88,16.6%,16.7%,135.17%,8%/20%(板),43%(板),37%,25%,18%,15%,21%
300489,光智科技,2026-04-09,5.16,4.84,21.66,5.76%,7.71%,258.04%,0%/13%(阳),13%,13%,13%,10%,21%,32%
300496,中科创达,2024-09-30,8.04,15.43,12.19,19.32%,23.84%,157.83%,15%/21%(板),40%,24%,15%,18%,24%,12%
300502,新易盛,2024-10-08,10.32,16.02,13.2,18.19%,22.52%,138.32%,-8%/3%(阴),-3%,-2%,-5%,-4%,-11%,-13%
300511,雪榕生物,2024-05-10,4.95,7.97,13.03,3.91%,11.72%,118.4%,-13%/-5%(阴),-14%,-13%,-15%,-16%,-14%,-16%
300521,爱司凯,2021-12-03,12.56,8.36,13.82,0.84%,12.56%,181.32%,-6%/0%(阴),-6%,-11%,-10%,-11%,-13%,-12%
300528,幸福蓝海,2025-09-09,22.68,10.28,22.8,18.38%,29.47%,108.22%,-3%/21%(阳),8%,20%,29%,30%,18%,14%
300530,领湃科技,2026-07-29,18.34,12.25,22.85,13.65%,22.36%,113.19%,-5%/3%(阴),3%,2%,1%,-3%,-3%,-6%
300541,先进数通,2024-10-08,8.72,13.93,15.98,27.13%,27.23%,156.92%,-11%/6%(阳),-1%,-7%,-7%,0%,-2%,-1%
300547,川环科技,2024-12-27,9.23,6.06,0.0,7.9%,11.88%,137.23%,3%/15%(阳),18%,16%,16%,12%,14%,7%
300552,万集科技,2024-10-08,6.91,15.86,17.3,24.04%,25.48%,154.75%,-18%/-7%(阴),-12%,-19%,-17%,-12%,-14%,-13%
300554,三超新材,2022-08-08,18.57,16.95,19.61,32.86%,33.43%,125.64%,-8%/6%(阳),3%,-1%,7%,7%,12%,11%
300557,理工光科,2024-06-18,14.07,12.13,21.78,15.16%,27.94%,156.27%,6%/17%(阳),16%,5%,-5%,1%,-6%,1%
300567,精测电子,2024-10-08,11.71,16.38,16.01,29.42%,28.81%,305.79%,-12%/0%(阴),-7%,-17%,-19%,-14%,-19%,-19%
300568,星源材质,2024-10-08,10.15,14.57,13.12,30.58%,28.43%,158.65%,-13%/-1%(阴),-9%,-17%,-22%,-22%,-26%,-25%
300569,天能重工,2025-03-21,8.94,10.69,19.92,9.56%,13.93%,175.97%,-3%/9%(阴),5%,0%,-5%,-11%,-18%,-17%
300576,容大感光,2024-10-08,8.43,17.73,8.84,25.97%,26.7%,135.45%,-5%/19%(阳),4%,-2%,-6%,-1%,6%,1%
300591,万里马,2021-11-24,8.41,8.8,18.43,7.03%,12.84%,282.79%,-7%/6%(阴),-3%,-9%,-4%,-8%,-9%,-12%
300593,新雷能,2020-10-12,14.1,5.25,22.78,12.77%,14.89%,210.47%,-6%/0%(阳),3%,-4%,-6%,-2%,-1%,-3%
300613,富瀚微,2024-10-08,7.92,16.25,6.25,25.92%,25.68%,155.33%,-5%/14%(阳),1%,-6%,-11%,-8%,-13%,-12%
300613,富瀚微,2026-04-24,5.64,3.05,4.0,6.76%,7.88%,434.66%,6%/17%(阳),18%,8%,7%,9%,10%,13%
300614,百川畅银,2021-11-15,9.06,10.76,19.87,6.99%,15.56%,128.45%,-6%/0%(阴),-1%,1%,-3%,-6%,-2%,0%
300629,新劲刚,2022-08-01,6.61,12.69,16.18,16.87%,17.61%,278.19%,0%/8%(阴),20%,9%,8%,-6%,-5%,-3%
300635,中达安,2023-07-27,4.08,2.36,21.84,4.89%,5.86%,580.02%,-9%/9%(阴),-6%,-11%,-13%,-15%,-15%,-17%
300641,正丹股份,2024-04-11,13.77,12.25,6.23,23.25%,24.83%,210.82%,11%/21%(板),43%,59%,66%,89%,101%,117%
300648,星云股份,2024-10-08,12.32,13.72,12.8,24.85%,25.77%,142.5%,-12%/1%(阴),-9%,-15%,-11%,-10%,-13%,-13%
300651,金陵体育,2025-06-03,6.88,18.46,11.12,18.06%,23.06%,101.04%,6%/21%(板),44%(板),65%,86%,95%,73%,74%
300655,晶瑞电材,2024-10-08,7.13,15.69,9.82,26.06%,26.35%,182.36%,-10%/7%(阴),-3%,-11%,-16%,-14%,-2%(板),-4%
300660,江苏雷利,2025-02-21,17.96,16.83,24.4,22.22%,29.78%,127.43%,-9%/0%(阴),-3%,-2%,-9%,-11%,-18%,-15%
300661,圣邦股份,2024-10-08,11.52,17.18,6.81,32.15%,32.22%,145.73%,-13%/6%(阴),-9%,-16%,-19%,-17%,-22%,-21%
300665,飞鹿股份,2025-07-01,6.85,9.27,15.67,6.09%,9.52%,215.8%,-5%/14%(阴),0%,-10%,-6%,-9%,-9%,-4%
300666,江丰电子,2024-10-08,9.09,15.32,8.38,26.44%,27.07%,161.23%,-5%/5%(阴),-2%,-9%,-14%,-11%,-14%,-14%
300671,富满微,2024-09-30,6.25,9.05,16.78,15.15%,16.45%,181.27%,13%/21%(板),43%,38%,27%,24%,28%,17%
300689,澄天伟业,2025-06-13,19.04,12.05,22.27,19.14%,29.8%,171.0%,-12%/0%(阴),-12%,-17%,-18%,-21%,-22%,-20%
300700,岱勒新材,2024-10-08,8.4,13.67,16.27,23.56%,23.06%,178.99%,-14%/-1%(阴),-10%,-16%,-20%,-19%,-19%,-21%
300711,广哈通信,2026-01-12,2.95,3.92,20.2,4.27%,6.96%,244.39%,5%/20%(阴),19%,8%,1%,-5%,-7%,-9%
300712,永福股份,2024-11-13,7.24,6.53,22.85,3.39%,10.28%,286.47%,0%/18%(阴),-2%,-10%,-13%,-7%,-9%,-10%
300726,宏达电子,2024-09-30,6.16,6.82,16.39,11.93%,14.05%,191.22%,11%/20%(板),20%,13%,6%,4%,8%,4%
300730,科创信息,2022-10-13,8.04,7.79,19.91,10.02%,9.78%,446.3%,4%/20%(板),43%(板),56%,45%,44%,37%,37%
300735,光弘科技,2024-09-30,8.37,11.34,14.62,14.12%,18.57%,149.53%,15%/21%(板),43%,25%,15%,28%(板),45%,28%
300763,锦浪科技,2025-09-05,13.45,7.95,21.57,9.4%,15.92%,127.11%,1%/8%(阴),3%,-1%,-5%,-4%,0%,-5%
300766,每日互动,2026-01-12,12.75,6.87,14.03,11.32%,12.75%,194.87%,-6%/7%(阴),8%,2%,1%,-7%,-6%,-3%
300776,帝尔激光,2024-10-08,13.42,14.61,10.0,34.89%,32.37%,143.27%,-8%/3%(阴),-3%,-9%,-11%,-14%,-17%,-19%
300792,壹网壹创,2026-01-12,15.82,9.15,14.74,18.07%,20.93%,178.08%,-3%/18%(阴),16%(板),10%,10%,7%,1%,-1%
300801,泰和科技,2025-06-23,9.52,7.5,22.41,8.68%,9.52%,224.72%,3%/21%(板),43%(板),37%,28%,29%,26%,19%
300805,电声股份,2023-12-19,6.22,14.7,23.14,8.81%,17.31%,111.47%,-1%/19%(阴),0%,-7%,-20%,-15%,-15%,-17%
300816,艾可蓝,2022-11-16,7.63,7.09,18.58,10.72%,13.38%,180.62%,-5%/6%(阳),17%,8%,5%,-1%,3%,1%
300817,双飞集团,2025-02-20,16.17,12.29,23.58,15.27%,22.99%,109.39%,6%/20%(板),36%,19%,21%,14%,9%,3%
300831,ST派瑞,2024-10-08,6.27,16.38,8.07,20.27%,22.59%,261.41%,-8%/13%(阳),3%,-5%,-8%,-5%,-9%,-9%
300845,捷安高科,2024-10-08,6.58,15.32,17.09,20.83%,22.9%,161.12%,-15%/-6%(阴),-12%,-15%,-16%,-14%,-16%,-14%
300852,四会富仕,2026-07-01,16.26,18.85,22.26,22.87%,28.64%,140.48%,-13%/-4%(阴),-11%,-16%,-22%,-26%,-29%,-27%
300859,西域旅游,2022-06-28,17.53,10.13,19.66,17.53%,26.05%,114.18%,-3%/19%(阳),24%,13%,6%,8%,4%,4%
300891,惠云钛业,2020-11-16,14.58,10.14,21.72,4.59%,16.99%,145.71%,-7%/6%(阴),7%,4%,-7%,-2%,-9%,-11%
300892,品渥食品,2020-12-02,14.78,9.4,17.09,19.51%,20.8%,152.77%,-7%/5%(阳),8%,7%,4%,2%,1%,-1%
300894,火星人,2026-06-11,10.15,10.21,22.47,8.1%,13.34%,232.92%,-1%/6%(阳),3%,-3%,5%,9%,6%,3%
300905,宝丽迪,2024-09-06,21.5,5.8,23.4,6.72%,21.5%,145.61%,-4%/16%(阳),10%,8%,1%,-5%,-5%,-8%
300917,特发服务,2024-09-26,9.43,12.65,24.94,2.52%,15.53%,125.73%,4%/21%(板),44%(板),72%(板),58%,40%,40%,44%
300918,南山智尚,2024-06-04,9.03,14.31,20.06,16.1%,22.85%,171.84%,-9%/4%(阴),-1%,-7%,-15%,-13%,-12%,-13%
300937,药易购,2025-11-12,4.78,7.3,17.77,5.14%,9.81%,194.69%,2%/12%(阳),20%,6%,3%,-2%,-5%,-9%
300941,创识科技,2025-06-17,9.03,3.84,20.98,1.81%,9.03%,185.65%,-2%/8%(阴),-3%,-11%,-8%,-5%,-3%,4%
300942,易瑞生物,2024-07-10,22.81,16.74,22.54,10.74%,29.09%,160.9%,-8%/2%(阳),-6%,-11%,-11%,-14%,-12%,-14%
300955,嘉亨家化,2024-12-10,8.41,5.41,16.91,-0.55%,8.59%,127.81%,-8%/12%(阳),2%,-2%,-4%,-8%,-14%,-16%
300959,线上线下,2024-12-24,15.47,17.26,26.37,12.01%,19.62%,137.45%,-4%/16%(阳),14%,7%,-2%,-8%,1%(板),4%
300959,线上线下,2025-09-15,5.05,5.25,21.77,4.11%,9.51%,263.51%,2%/21%(板),44%,42%,39%,47%,43%,42%
300961,深水海纳,2024-10-09,13.33,14.02,28.59,25.47%,30.93%,199.55%,21%/21%(板),15%,6%,2%,-2%,-5%,-7%
300965,恒宇信通,2025-06-27,5.18,5.41,20.68,4.32%,8.84%,148.02%,6%/21%(板),30%,14%,9%,7%,6%,5%
300966,共同药业,2025-07-31,8.14,8.55,18.63,3.07%,9.4%,149.34%,5%/17%(阳),20%,10%,6%,5%,-1%,-1%
300968,格林精密,2024-08-16,8.19,11.02,19.87,11.79%,16.0%,224.39%,-13%/-3%(阴),-13%,-16%,-14%,-16%,-13%,-15%
300969,恒帅股份,2024-09-30,14.77,8.76,17.47,19.52%,20.33%,124.73%,7%/21%(板),20%,8%,-1%,-12%,-11%,-15%
300972,万辰集团,2023-04-19,16.07,9.67,11.78,5.61%,16.07%,160.07%,-2%/9%(阳),19%,13%,7%,6%,8%,6%
300975,商络电子,2023-07-13,16.88,6.44,18.18,11.39%,16.88%,106.16%,7%/20%(阴),6%,-3%,-6%,-7%,-12%,-16%
300993,玉马科技,2025-06-27,9.55,10.87,21.1,10.18%,16.4%,154.48%,-6%/8%(阳),3%,17%,21%,21%,17%,13%
301001,凯淳股份,2023-03-21,7.1,5.43,22.08,7.52%,10.18%,124.4%,5%/18%(阴),2%,-5%,-6%,-9%,-10%,-7%
301060,兰卫医学,2024-03-20,5.74,6.93,20.12,7.46%,13.4%,152.89%,0%/10%(阳),2%,-3%,-10%,-7%,-10%,-8%
301063,海锅股份,2022-10-25,5.16,11.28,23.17,15.16%,19.99%,272.87%,-4%/10%(阳),9%,4%,8%,11%,10%,15%
301067,显盈科技,2024-12-24,8.66,6.12,22.41,3.94%,9.92%,210.37%,-8%/1%(阴),8%,12%,8%,3%,-4%,6%
301073,君亭酒店,2024-09-30,16.79,11.28,17.43,20.38%,24.7%,145.64%,-4%/20%(阴),-3%,-8%,-14%,-18%,-16%,-19%
301076,新瀚新材,2025-04-24,8.35,11.06,21.33,10.85%,16.0%,228.09%,-5%/4%(阴),13%,28%(板),34%,24%,40%,22%
301091,深城交,2024-08-02,15.23,8.97,23.2,11.59%,15.81%,229.48%,-3%/9%(阴),5%,-2%,-10%,-14%,-17%,-15%
301095,广立微,2024-10-08,8.06,15.18,6.42,28.71%,27.17%,185.36%,-11%/1%(阴),-9%,-17%,-20%,-19%,-21%,-21%
301112,信邦智能,2024-02-26,8.78,8.21,19.38,13.07%,13.58%,284.76%,-6%/-1%(阳),-4%,-10%,-9%,-9%,-11%,-7%
301118,恒光股份,2024-04-03,4.65,12.44,21.64,7.77%,16.61%,191.55%,-7%/5%(阴),-5%,-2%,3%,-1%,-13%,-26%
301123,奕东电子,2023-06-19,8.43,4.17,21.72,3.49%,8.43%,358.32%,-3%/8%(阳),0%,-5%,-10%,-12%,-12%,-10%
301125,腾亚精工,2025-06-30,5.88,19.98,22.06,16.68%,23.67%,128.59%,-9%/7%(阴),-2%,-7%,-6%,-11%,-10%,-12%
301126,达嘉维康,2024-05-09,6.68,5.8,20.89,4.15%,6.98%,462.91%,-12%/-6%(阴),-13%,-15%,-15%,-18%,-18%,-18%
301129,瑞纳智能,2026-03-04,5.78,6.75,22.13,-10.28%,10.46%,309.75%,-1%/13%(阴),2%,2%,5%,3%,1%,-2%
301132,满坤科技,2023-07-14,7.88,11.41,20.4,8.61%,14.11%,150.12%,-11%/-3%(阴),-6%,-4%,-8%,-13%,-22%,-22%
301132,满坤科技,2024-02-27,7.97,5.54,21.57,8.89%,9.92%,100.19%,-12%/8%(阴),-7%,-4%,-6%,-9%,-11%,-8%
301138,华研精机,2024-02-26,8.6,9.13,17.42,13.77%,13.66%,130.35%,-3%/21%(板),44%(板),36%,34%,18%,21%,20%
301178,天亿马,2022-10-17,5.52,7.4,21.59,7.53%,11.7%,325.46%,-3%/7%(阴),-3%,-6%,-2%,-5%,-10%,-11%
