股票代码,股票名称,D-0日期,D-2振幅,D-1涨幅,D-1振幅,D-0涨幅,D-0振幅,D-0/D-2成交额百分比,D-0/D-1成交额百分比,T+0(低/高),T+1最高价,T+2最高价,T+3最高价,T+4最高价,T+5最高价,T+6最高价,T+7最高价
002333,罗普斯金,2017-01-24,11.32,2.76,5.46,5.92,12.58,224.82%,101.42%,-4%/0%(阴),-2%,4%,-1%,5%,3%,4%,4%
002337,赛象科技,2019-03-27,12.57,5.47,12.38,7.01,16.01,188.72%,100.45%,-9%/-6%(阴),-13%,-16%,-14%,-16%,-16%,-17%,-14%
002342,巨力索具,2012-05-09,10.73,4.4,6.18,5.92,10.53,177.86%,122.26%,-3%/0%(阴),-3%,-2%,-2%,-3%,-2%,-3%,-4%
002351,漫步者,2018-03-21,9.83,-2.91,3.91,2.42,7.71,136.83%,119.33%,-2%/2%(阴),-3%,-5%,5%(板),12%,2%,2%,1%
002355,兴民智通,2017-09-19,11.43,7.06,7.14,1.33,5.85,178.05%,100.45%,-2%/1%(阳),0%,-1%,-3%,-4%,-8%,-7%,-7%
002363,隆基机械,2022-05-25,11.5,0.91,12.42,2.85,13.96,345.93%,272.91%,-9%/-7%(阴),-13%,-14%,-14%,-14%,-12%,-8%,-10%
002368,太极股份,2013-10-10,6.48,5.89,6.69,-0.34,10.97,143.45%,114.83%,-3%/2%(阴),0%,-2%,-3%,-5%,-1%,4%,0%
002370,亚太药业,2023-08-17,11.48,-5.02,5.02,3.81,9.73,353.67%,130.88%,-6%/-2%(阴),-8%,-10%,-10%,-12%,-10%,-8%,-8%
002379,宏桥控股,2015-03-02,10.55,-1.74,2.83,3.33,5.32,126.33%,115.59%,-1%/8%(阳),3%,5%,4%,1%,2%,0%,0%
002384,东山精密,2022-08-01,8.1,2.93,5.36,7.68,7.04,197.07%,152.49%,-3%/2%(阳),2%,-3%,-2%,-4%,-4%,-5%,-1%
002388,新亚制程,2021-04-15,9.45,-1.34,4.2,3.48,11.8,123.56%,104.52%,-1%/1%(阴),1%,0%,-2%,-3%,-3%,-4%,-5%
002389,航天彩虹,2020-12-25,9.11,9.12,4.0,4.27,10.3,250.77%,143.03%,-5%/1%(阴),-2%,0%,6%,11%,13%,18%,18%
002396,星网锐捷,2022-10-31,9.23,-5.33,4.43,5.48,8.86,119.35%,117.0%,-2%/-1%(阳),-1%,-2%,0%,-1%,-1%,1%,1%
002400,省广集团,2013-04-24,9.15,4.42,7.71,7.97,10.02,155.34%,118.15%,-5%/0%(阴),-4%,-6%,-2%,2%,1%,-4%,-4%
002400,省广集团,2023-01-17,9.95,-2.26,4.12,1.68,8.84,167.05%,103.26%,-3%/1%(阴),-3%,-4%,3%,1%,1%,2%,4%
002402,和而泰,2025-07-01,9.43,-0.69,4.54,0.65,5.7,154.38%,113.64%,-4%/2%(阴),-2%,-2%,-4%,-6%,-6%,-7%,-6%
002405,四维图新,2020-02-25,3.51,6.71,6.6,8.76,10.46,202.29%,106.73%,-8%/-2%(阴),-3%,-15%,-15%,-9%,-11%,-12%,-9%
002406,远东传动,2017-02-08,10.47,1.26,7.74,6.2,12.71,291.54%,116.92%,-3%/0%(阴),-2%,-1%,-2%,-2%,-2%,0%,-5%
002407,多氟多,2017-07-14,9.68,-1.76,5.64,5.82,10.67,128.3%,110.98%,-7%/5%(阳),5%,6%,10%,6%,4%,0%,3%
002407,多氟多,2019-07-03,8.45,1.31,5.91,6.67,11.6,294.0%,103.45%,-4%/-1%(阴),-4%,-7%,-1%(板),5%,8%,13%,16%
002407,多氟多,2022-11-28,9.32,-2.41,3.73,5.99,8.93,128.37%,112.37%,-1%/0%(阳),2%,-1%,3%,2%,3%,2%,1%
002416,爱施德,2019-06-27,11.63,0.0,4.95,8.53,10.92,155.36%,140.53%,-3%/0%(阳),0%,-2%,-3%,-4%,-5%,-4%,-5%
002416,爱施德,2020-04-22,9.23,1.42,4.69,2.66,6.87,125.35%,112.7%,-3%/-1%(阴),-1%,6%(板),17%(板),17%,14%,6%,10%
002421,达实智能,2021-06-03,6.96,-0.26,7.63,7.92,11.87,233.24%,127.54%,-5%/-3%(阴),-1%,-1%,-3%,-3%,0%,0%,-1%
002424,ST百灵,2015-10-16,5.9,3.92,4.25,4.58,11.47,141.35%,100.46%,-6%/-1%(阴),-67%,-68%,-69%,-67%(板),-64%,-63%,-63%
002430,杭氧股份,2018-01-08,10.42,1.67,6.75,2.98,5.85,119.36%,110.51%,-2%/2%(阴),-2%,-1%,-3%,-5%,-10%,-12%,-8%
002432,九安医疗,2013-11-28,11.13,-0.53,4.14,5.4,10.27,116.34%,110.83%,-1%/2%(阳),-1%,-6%,-3%,-3%,-4%,-3%,-3%
002436,兴森科技,2018-04-20,9.45,-1.79,5.37,6.19,11.11,142.8%,119.55%,-4%/1%(阴),-1%,0%,2%,0%,-3%,-8%,-7%
002440,闰土股份,2016-02-26,10.46,-5.86,9.57,5.55,8.7,142.93%,110.84%,-10%/-4%(阴),-6%,1%(板),8%,14%,20%,14%,9%
002441,众业达,2026-02-06,10.43,-4.01,3.19,5.79,6.93,236.69%,131.92%,-2%/-1%(阳),-3%,-4%,1%,-2%,2%,2%,4%
002452,长高电气,2019-10-14,11.01,-2.77,8.51,8.1,11.16,158.39%,119.73%,-4%/2%(阳),0%,-3%,-4%,-2%,-5%,-4%,-5%
002470,金正大,2023-07-26,7.91,1.69,10.55,6.64,13.28,179.3%,123.32%,-7%/-3%(阴),-5%,-8%,-8%,-6%,-9%,-9%,-10%
002472,双环传动,2025-09-18,10.1,8.24,9.03,5.04,9.64,213.47%,110.81%,-8%/-5%(阴),0%,5%,4%,4%,0%,-2%,-2%
002474,榕基软件,2022-03-08,10.96,-3.19,4.79,1.79,12.23,217.59%,150.83%,-2%/9%(板),18%,12%,15%,11%,11%(板),21%,12%
002483,润邦股份,2012-08-30,12.57,-1.19,4.42,4.59,7.97,122.42%,116.89%,-3%/-1%(阴),-2%,-3%,-5%,-4%,1%,0%,3%
002487,大金重工,2021-07-29,9.95,-3.02,6.7,5.3,9.56,125.39%,112.36%,-2%/3%(阳),13%,6%,3%,2%,1%,3%,2%
002487,大金重工,2024-10-08,9.0,9.95,7.89,4.13,9.97,149.67%,125.5%,-9%/-3%(阴),-4%,-9%,-12%,-12%,-15%,-14%,-12%
002488,金固股份,2020-09-23,9.3,6.01,9.12,3.88,15.01,136.47%,106.33%,-9%/4%(阴),-8%,-10%,-6%,-8%,-7%,-4%,-10%
002489,浙江永强,2020-03-04,8.22,3.73,5.39,9.0,11.4,253.74%,199.28%,-2%/5%(阳),8%,6%,13%,23%,11%,-4%,-5%
002489,浙江永强,2024-08-30,11.2,-1.75,5.96,3.57,11.79,238.42%,121.34%,-5%/-1%(阴),-5%,-4%,-5%,-4%,-7%,-7%,-7%
002495,佳隆股份,2020-04-08,10.75,3.26,8.14,5.99,11.36,267.88%,126.35%,-10%/-3%(阳),-6%,-12%,-13%,-14%,-17%,-18%,-19%
002504,未找到标的,2017-04-07,5.7,0.24,5.54,4.8,9.96,179.17%,104.75%,-1%/8%(阳),8%,4%,2%,0%,0%,-3%,-6%
002506,协鑫集成,2019-04-04,10.42,-0.33,3.32,7.83,12.67,137.05%,120.44%,-1%/6%(阳),16%(板),27%,19%,16%,20%,16%,19%
002509,未找到标的,2019-01-21,10.53,-3.31,6.62,7.22,12.17,135.97%,124.45%,-5%/-3%(阳),-5%,-7%,-8%,-10%,-15%,-16%,-19%
002513,蓝丰生化,2025-05-06,9.68,-3.39,4.51,6.54,7.71,188.16%,114.74%,2%/4%(阳),4%,4%,5%,8%,4%,5%,5%
002516,旷达科技,2017-03-28,6.88,-1.67,5.29,6.93,13.58,251.08%,148.63%,-7%/-3%(阳),-5%,-9%,-9%,-9%,-9%,-12%,-13%
002518,科士达,2019-03-06,9.98,8.01,12.1,4.45,12.11,106.87%,106.81%,-5%/1%(阴),-6%,-4%,-2%,0%,-1%,-6%,-5%
