股票代码,股票名称,D-0日期,D-2振幅,D-1涨幅,D-1振幅,D-0涨幅,D-0振幅,D-0/D-2成交额百分比,D-0/D-1成交额百分比,T+0(低/高),T+1最高价,T+2最高价,T+3最高价,T+4最高价,T+5最高价,T+6最高价,T+7最高价
002761,浙江建投,2015-12-18,11.51,0.63,6.44,-7.08,13.78,143.74%,140.55%,-6%/-4%(阴),-4%,-5%,-8%,-7%,-7%,-8%,-8%
002763,汇洁股份,2019-05-07,10.92,2.46,8.64,4.12,11.51,159.66%,101.87%,-4%/2%(阳),-5%,-5%,-5%,3%,3%,2%,1%
002763,汇洁股份,2023-05-05,5.11,3.52,6.53,4.98,5.34,146.31%,101.53%,-3%/0%(阳),1%,1%,3%,5%,2%,2%,2%
002768,国恩股份,2025-11-11,10.65,-1.36,9.83,9.68,12.4,163.07%,122.25%,-7%/-1%(阴),-6%,-7%,-10%,-12%,-12%,-13%,-18%
002777,久远银海,2026-01-13,9.1,7.04,5.42,2.21,10.21,178.38%,100.71%,0%/6%(阳),7%,0%,-5%,-6%,-7%,-8%,-5%
002779,中坚科技,2024-11-15,12.46,1.92,8.01,-7.54,16.11,116.71%,102.42%,-7%/1%(阴),2%,5%,13%,18%,28%(板),28%,16%
002785,万里石,2016-06-22,10.61,7.52,11.96,0.74,10.95,183.34%,117.48%,-5%/-2%(阴),-4%,-3%,-3%,3%,-2%,3%,6%
002786,银宝山新,2025-07-03,3.69,-5.03,4.73,5.4,10.18,301.59%,109.76%,-2%/3%(阴),0%,-2%,-2%,-4%,-4%,-4%,-4%
002792,通宇通讯,2024-08-09,8.69,-1.54,6.81,5.17,9.87,190.62%,103.59%,-4%/-2%(阴),-4%,-1%,3%,1%,-1%,-4%,-4%
002793,罗欣药业,2020-08-05,11.01,6.55,8.46,4.35,11.19,173.58%,127.75%,-8%/0%(阴),-5%,-6%,-7%,-9%,-13%,-13%,-5%
002793,罗欣药业,2025-07-31,11.42,2.68,7.87,6.04,9.95,476.82%,121.15%,-5%/1%(阳),0%,-3%,-6%,-9%,-11%,-9%,-8%
002797,第一创业,2021-09-06,10.68,6.56,4.64,2.05,10.77,233.55%,113.85%,-5%/-1%(阳),-1%,-2%,4%,0%,-3%,-5%,-5%
002811,郑中设计,2026-08-18,10.42,2.65,5.4,5.09,6.98,273.08%,107.6%,-2%/2%(阳),9%(板),11%,13%,10%,9%,9%,11%
002813,路畅科技,2023-11-21,10.93,0.29,9.8,7.12,11.98,320.57%,111.6%,-6%/-3%(阴),-1%,0%,2%,5%,1%,-5%,-7%
002823,凯中精密,2021-11-15,10.47,-2.03,4.62,6.51,11.23,180.2%,158.03%,-3%/3%(阳),2%,1%,1%,4%,5%,5%,3%
002828,贝肯能源,2022-11-28,13.0,-3.09,9.91,5.91,10.6,170.85%,110.87%,-3%/1%(阳),11%,2%,3%,6%,0%,-9%,-10%
002835,同为股份,2022-01-13,10.68,-1.01,5.59,2.67,9.5,129.81%,104.26%,-3%/0%(阴),-1%,-2%,-4%,-3%,-2%,7%,3%
002845,同兴达,2025-07-03,10.63,-2.61,4.7,3.72,6.46,217.53%,114.56%,-3%/0%(阴),-1%,-1%,-2%,-2%,2%,0%,-3%
002847,盐津铺子,2017-09-13,10.87,8.77,11.09,-0.44,5.95,109.76%,105.09%,-2%/2%(阴),3%,5%,3%,3%,4%,2%,2%
002851,麦格米特,2022-06-15,11.64,4.96,13.08,3.76,10.83,421.27%,139.35%,-3%/2%(阴),2%,8%,8%,4%,8%,9%,6%
002852,道道全,2025-07-16,7.91,-4.42,5.63,5.53,9.43,145.09%,120.61%,-3%/-1%(阴),-3%,-3%,-3%,-3%,-1%,0%,0%
002856,*ST美芝,2019-03-21,11.5,-3.3,5.96,0.77,8.83,106.59%,104.5%,-3%/2%(阳),0%,-2%,-5%,-6%,-4%,-5%,1%
002861,瀛通通讯,2022-11-04,8.71,-4.48,5.51,2.34,11.17,322.84%,116.6%,1%/10%(板),9%,3%,2%,3%,1%,-1%,-1%
002862,实丰文化,2021-02-26,9.34,-3.37,6.34,8.78,14.6,186.79%,133.4%,-5%/9%(阳),2%,-3%,-2%,1%,7%(板),18%(板),18%
002863,今飞凯达,2023-07-27,9.9,-2.44,3.2,-0.47,7.19,198.53%,102.07%,-3%/2%(阴),3%,2%,1%,0%,0%,-1%,-2%
002865,钧达股份,2020-05-29,10.71,3.77,13.29,5.48,8.9,255.45%,100.92%,-5%/5%(阳),9%,-4%,-7%,-7%,-7%,-10%,-10%
002865,钧达股份,2022-06-14,10.81,9.55,11.39,3.2,10.61,188.85%,110.33%,-8%/0%(阴),2%,5%,6%,1%,3%,3%,3%
002865,钧达股份,2025-07-10,10.28,1.38,3.42,3.93,5.91,120.85%,100.85%,-2%/3%(阴),-1%,-4%,-4%,2%,-1%,0%,2%
002870,香山股份,2025-12-29,10.14,0.05,6.02,1.23,10.02,156.47%,127.38%,2%/5%(阴),2%,-3%,-1%,-3%,-4%,-4%,-4%
002881,美格智能,2022-05-20,10.38,5.13,12.8,6.29,13.48,228.98%,130.61%,-5%/9%(阳),6%,7%,1%,0%,-1%,-4%,3%
002886,沃特股份,2023-03-06,10.13,4.01,8.4,0.69,9.4,186.03%,102.12%,-5%/0%(阴),-3%,0%,-1%,-2%,-6%,-6%,-9%
002889,东方嘉盛,2023-09-12,9.03,-2.56,4.64,3.87,7.49,141.1%,106.29%,-6%/0%(阳),10%(板),21%(板),33%(板),28%,16%,11%,8%
002892,科力尔,2024-09-12,11.58,-2.85,2.52,2.93,4.18,153.7%,124.48%,-2%/0%(阳),-1%,-1%,2%,5%,1%,6%,12%(板)
002907,华森制药,2024-08-06,11.12,-5.2,5.99,8.3,10.66,184.62%,122.55%,-5%/-3%(阴),0%,-3%,-2%,-5%,-6%,-7%,-6%
002910,庄园牧场,2026-06-18,10.99,-0.45,5.08,4.39,16.04,277.28%,198.16%,-4%/10%(板),15%,5%,4%,5%(板),5%,4%,1%
002913,奥士康,2023-03-08,10.36,-2.32,4.71,7.03,11.01,250.7%,133.65%,-4%/0%(阳),-3%,-5%,-6%,-6%,-7%,-6%,-5%
002916,深南电路,2025-09-01,9.12,6.19,7.99,0.95,6.53,117.35%,116.77%,-10%/1%(阴),-6%,-6%,-9%,-9%,-11%,-8%,0%(板)
002919,名臣健康,2025-10-14,10.91,-0.72,5.71,6.3,5.02,126.52%,125.14%,0%/5%(阳),4%,2%,3%,3%,3%,2%,5%
002920,德赛西威,2021-01-20,15.09,6.4,11.0,3.88,9.66,117.73%,100.78%,-4%/-1%(阳),-1%,-2%,-4%,-5%,-6%,-7%,-9%
002920,德赛西威,2023-06-14,7.38,7.89,6.65,0.58,4.48,242.42%,102.13%,-2%/7%(阳),7%,14%,18%,22%,18%,11%,9%
002922,伊戈尔,2019-08-07,9.87,-3.76,6.73,4.6,9.95,281.07%,120.31%,-3%/1%(阳),-1%,-7%,0%(板),7%,1%,1%,4%
002927,泰永长征,2023-05-10,9.36,-1.44,6.69,6.63,11.8,511.99%,125.94%,-4%/-2%(阳),-3%,2%,4%,0%,0%,2%,4%
002928,华夏航空,2024-08-02,10.14,0.95,3.5,0.79,6.14,137.32%,100.55%,1%/6%(阴),4%,1%,0%,-1%,-5%,-6%,-6%
002929,润建股份,2026-01-09,10.48,0.87,3.83,4.72,7.06,128.06%,104.07%,-2%/2%(阳),2%,5%,5%,1%,-3%,-4%,-6%
002935,天奥电子,2026-04-22,10.1,-1.49,2.98,5.71,8.0,163.34%,126.04%,-3%/0%(阳),-1%,-1%,0%,4%,6%,8%,6%
002938,鹏鼎控股,2025-07-07,8.62,3.22,6.83,1.41,8.65,137.08%,122.91%,-2%/6%(阳),5%,8%,4%,6%,16%(板),16%,22%
002940,昂利康,2025-06-05,10.69,1.63,7.85,5.94,14.07,270.37%,100.58%,-2%/9%(板),20%(板),33%(板),46%(板),59%,52%,62%(板),78%
002941,新疆交建,2023-03-17,10.32,0.79,9.84,6.03,10.68,221.23%,111.5%,-2%/5%(阴),-1%,-3%,3%,-1%,-3%,-4%,-6%
002948,青岛银行,2022-11-29,9.6,0.85,4.51,8.1,10.06,303.78%,176.12%,-5%/-2%(阴),-4%,-8%,-7%,-8%,-8%,-8%,0%
002949,华阳国际,2020-05-29,0.13,2.11,8.1,6.21,11.67,507.69%,110.85%,-1%/3%(阳),1%,-2%,-1%,1%,-3%,-6%,-8%
002950,奥美医疗,2024-09-04,5.22,-4.61,4.34,6.54,9.82,310.19%,125.32%,-4%/-1%(阴),-2%,-2%,-2%,-2%,0%,-1%,-3%
002957,科瑞技术,2024-11-13,12.93,-4.24,7.92,4.27,16.49,106.78%,104.57%,-10%/-1%(阴),-11%,-11%,-12%,-10%,-11%,-13%,-16%
002967,广电计量,2024-03-20,9.53,-4.44,5.19,6.57,9.07,150.33%,113.22%,-1%/8%(阳),6%,6%,-2%,-5%,-1%(板),7%,13%(板)
002971,和远气体,2023-11-22,6.32,0.8,7.25,-7.46,12.16,151.3%,106.18%,-2%/0%(阴),0%,-1%,1%,3%,0%,1%,2%
002976,瑞玛精密,2024-09-30,10.43,3.19,7.25,8.57,7.87,201.34%,126.85%,-3%/9%(阴),0%,-5%,-5%,-8%,-10%,-11%,-12%
002983,芯瑞达,2025-04-25,4.05,-3.62,3.68,5.22,6.29,142.86%,115.31%,-2%/1%(阴),2%,6%,5%,8%,6%,6%,6%
002985,北摩高科,2025-04-21,11.0,2.41,6.06,6.51,11.71,141.97%,102.24%,-3%/0%(阴),-1%,-4%,-6%,-6%,-7%,-7%,-5%
002985,北摩高科,2025-10-10,10.77,1.37,4.18,4.22,5.4,160.35%,129.83%,-3%/3%(阳),2%,4%,4%,1%,-1%,-3%,-4%
002988,豪美新材,2026-08-18,10.81,-2.27,5.75,5.62,10.36,263.15%,129.54%,-8%/-1%(阴),-7%,0%(板),0%,-1%,3%,2%,2%
002991,甘源食品,2024-09-30,10.45,5.06,8.17,9.01,8.35,125.23%,104.6%,-4%/9%(阴),-3%,-5%,-6%,-7%,-7%,-9%,-9%
003008,开普检测,2022-08-17,10.65,-1.82,4.59,6.45,12.33,233.81%,172.53%,-3%/1%(阳),3%,-2%,-1%,1%,0%,-4%,-7%
003010,若羽臣,2023-12-01,10.07,2.85,9.02,7.11,14.27,387.51%,115.8%,-9%/-6%(阳),-8%,-7%,-8%,-8%,-12%,-8%,-8%
003015,日久光电,2021-04-07,11.59,-3.13,6.19,3.89,10.68,125.09%,106.91%,-3%/2%(阴),-1%,-2%,-1%,2%(板),3%,4%,4%
003033,征和工业,2025-05-08,10.83,6.2,6.75,5.84,8.74,224.04%,130.56%,-2%/3%(阴),6%,3%,-1%,1%,0%,-3%,-4%
003036,泰坦股份,2025-05-08,9.74,5.3,9.3,5.93,8.69,130.61%,100.78%,-4%/1%(阴),-1%,-2%,5%,0%,2%,7%,5%
003039,顺控发展,2022-11-28,10.04,-2.83,4.06,7.14,11.98,152.42%,129.83%,-3%/7%(阳),0%,-1%,-2%,2%,0%,-1%,-2%
003041,真爱美家,2021-11-10,10.51,0.39,12.46,7.61,11.16,191.12%,136.69%,-1%/2%(阴),5%,10%,15%,18%,18%,16%,19%
300013,新宁物流,2020-06-09,12.16,-3.25,5.04,6.05,11.09,218.86%,187.32%,-4%/0%(阳),-1%,3%,0%,2%,2%,0%,-5%
300017,网宿科技,2010-06-09,13.01,4.29,6.77,9.07,12.24,212.91%,101.09%,-2%/10%(板),20%,19%,10%,8%,7%,3%,-5%
300017,网宿科技,2015-01-08,7.24,2.09,5.35,8.94,11.25,196.07%,119.79%,-3%/2%(阳),4%,3%,1%,6%,10%,13%,16%
300020,ST银江,2015-05-12,11.02,9.96,9.56,-0.9,5.96,111.47%,106.42%,-6%/0%(阳),3%,-1%,6%(板),17%,21%,25%(板),34%
300024,机器人,2019-03-07,10.94,1.0,6.37,5.16,13.55,139.25%,108.31%,-6%/1%(阴),-1%,0%,-1%,-3%,-2%,-1%,-2%
300026,红日药业,2020-02-05,10.2,6.79,11.09,8.9,14.19,164.9%,103.09%,-2%/9%(板),21%(板),17%,2%,0%,-4%,-5%,-9%
300027,ST华谊,2015-05-12,10.04,1.74,5.51,6.33,10.89,131.68%,100.13%,-3%/8%(阳),9%,3%,5%,4%,7%,5%,7%
300033,同花顺,2019-12-17,6.84,4.74,8.8,-0.88,10.52,106.2%,100.77%,0%/3%(阴),1%,2%,-1%,-6%,-5%,-3%,-2%
300047,天源迪科,2015-05-12,9.47,3.07,7.03,1.83,11.38,115.17%,106.66%,-5%/-1%(阳),-1%,-2%,4%,12%(板),24%,23%,32%
300051,琏升科技,2014-11-03,8.35,-2.27,7.6,7.21,11.22,209.79%,102.56%,-4%/0%(阴),-1%,-9%,-18%,-22%,-24%,-22%,-23%
300054,鼎龙股份,2015-03-06,9.9,4.65,7.39,-4.25,12.15,162.0%,115.03%,-2%/3%(阳),10%,10%,12%,10%,10%,12%,13%
300061,旗天科技,2017-02-27,9.97,0.67,5.04,6.16,9.35,121.41%,103.42%,-2%/2%(阴),1%,-1%,0%,0%,-1%,-2%,-4%
300069,金利华电,2014-06-09,10.31,4.23,5.43,1.92,7.79,190.77%,128.79%,-1%/4%(阳),2%,1%,0%,3%,4%,6%,0%
300084,海默科技,2012-05-10,11.72,-3.46,9.11,8.4,11.89,173.52%,102.22%,-6%/-1%(阴),-4%,2%(板),7%,4%,6%,2%,0%
300097,智云股份,2014-12-01,11.47,1.77,9.05,9.06,13.3,144.33%,100.35%,-9%/-10%(阴),-14%,-18%,-20%,-22%,-29%,-30%,-31%
300098,高新兴,2020-02-26,7.85,5.08,12.7,5.89,13.9,233.17%,104.63%,-4%/5%(阴),-1%,1%,7%(板),6%,6%,3%,6%
300103,达刚控股,2020-07-27,11.81,3.2,7.06,4.47,15.97,281.48%,105.31%,-6%/-1%(阴),-5%,-5%,-7%,-5%,-4%,-5%,-1%
300104,未找到标的,2012-02-21,10.6,5.63,7.87,8.29,11.14,214.47%,107.95%,0%/3%(阳),7%,3%,6%,7%,8%,0%,9%(板)
300106,西部牧业,2018-08-02,10.71,0.99,5.45,4.08,14.54,143.18%,141.32%,-8%/-2%(阴),-8%,-7%,-4%,-6%,-5%,-7%,-8%
300110,华仁药业,2019-08-27,11.9,7.82,12.87,3.41,12.15,204.73%,103.63%,-8%/0%(阴),-3%,-7%,-10%,-9%,-8%,-9%,-10%
300114,未找到标的,2016-08-30,9.22,1.87,4.4,1.87,10.97,139.71%,122.59%,-3%/-1%(阴),-1%,-4%,-4%,-4%,0%,1%,0%
300114,未找到标的,2018-03-28,12.56,3.34,6.87,3.5,11.5,180.14%,106.9%,-3%/3%(阳),4%,13%,4%,5%,2%,1%,-2%
300115,长盈精密,2020-02-25,9.44,8.54,9.94,2.74,15.62,115.76%,104.1%,-4%/5%(阳),4%,1%,-3%,1%,-6%,-5%,-13%
300126,锐奇股份,2013-11-14,10.83,1.93,5.38,5.97,8.66,166.23%,111.36%,-2%/2%(阳),1%,1%,2%,-2%,-2%,4%,3%
300131,英唐智控,2014-05-29,8.97,4.59,6.63,3.98,11.45,307.99%,112.79%,-3%/0%(阴),1%,-6%,-4%,-2%,-4%,-6%,-1%
300137,先河环保,2012-06-13,10.28,-3.18,5.81,3.65,6.37,115.5%,103.35%,-3%/0%(阴),-3%,0%,-1%,-2%,-4%,-6%,-11%
300139,晓程科技,2015-04-03,9.89,4.04,6.98,-1.4,7.37,129.67%,108.02%,-1%/6%(阳),8%,0%,-59%,-62%,-63%,-65%,-67%
300140,节能环境,2013-12-18,10.36,3.19,9.58,5.24,9.84,147.42%,119.2%,-9%/1%(阴),1%,-6%,-7%,-6%,-1%,-4%,-2%
300141,和顺电气,2017-02-21,9.9,-2.78,4.31,3.8,8.02,182.98%,121.58%,-2%/0%(阳),-1%,-2%,0%,-1%,-3%,-3%,2%
300147,*ST香雪,2011-11-15,8.82,4.78,5.74,6.88,11.58,624.33%,137.3%,-6%/-2%(阴),-5%,-9%,-11%,-11%,-12%,-12%,-12%
300148,天舟文化,2013-02-26,10.3,2.34,4.9,5.5,12.01,213.33%,122.1%,-5%/-1%(阳),2%,4%,-1%,-4%,-2%,-3%,-4%
300151,昌红科技,2017-03-03,11.43,-3.46,3.97,4.02,8.66,150.39%,102.98%,-1%/1%(阳),1%,-1%,-2%,-1%,1%,0%,8%(板)
300176,鸿特科技,2020-01-08,11.14,1.3,7.21,3.26,11.18,111.1%,107.67%,-2%/2%(阴),0%,-3%,-3%,-6%,-3%,-6%,-9%
300185,通裕重工,2015-03-24,9.56,4.28,4.55,7.05,11.41,256.71%,104.32%,-3%/-1%(阴),-1%,-4%,-2%,-3%,-4%,1%,6%
300196,长海股份,2016-04-08,10.31,1.1,6.74,3.67,6.95,134.46%,131.23%,-1%/3%(阳),2%,0%,4%,3%,-3%,-3%,-5%
300213,佳讯飞鸿,2013-11-14,10.96,8.83,11.97,2.83,11.0,154.68%,118.47%,-4%/0%(阴),-4%,-4%,-6%,-5%,-8%,-10%,-7%
300216,未找到标的,2014-04-09,7.78,6.39,7.15,8.08,11.87,133.04%,112.74%,-2%/5%(阴),4%,12%(板),21%,30%,27%,19%,19%
300220,金运激光,2015-05-12,8.87,5.32,10.71,6.47,14.64,128.5%,115.76%,-4%/10%(阳),9%,4%,9%,11%,20%(板),28%,26%
300223,君正股份,2017-09-04,11.53,9.98,11.89,4.25,11.11,173.46%,125.31%,-2%/6%(阳),13%(板),17%,8%,5%,9%,4%,4%
300227,光韵达,2014-05-20,3.48,-2.52,6.84,4.37,7.55,257.53%,142.03%,-4%/-1%(阳),1%,-2%,2%,1%,1%,2%,4%
300250,初灵信息,2012-09-07,10.58,0.06,5.9,1.73,6.73,118.99%,102.93%,-1%/6%(阳),4%,0%,-1%,-2%,-5%,-7%,-4%
300251,光线传媒,2020-07-14,10.73,5.01,7.94,2.59,11.87,151.45%,114.38%,-4%/2%(阴),2%,-8%,-5%,-9%,-9%,-10%,-9%
300255,常山药业,2015-10-12,6.03,6.6,9.73,9.07,8.76,126.32%,111.38%,-2%/5%(阳),3%,6%,7%,4%,2%,6%,-1%
300263,隆华科技,2020-02-19,9.02,5.19,7.2,2.71,10.51,182.27%,108.43%,-4%/2%(阳),8%,6%,15%,14%,11%,17%,20%(板)
300270,中威电子,2015-05-20,10.0,8.1,12.84,3.28,8.99,143.84%,113.07%,2%/9%(板),15%,4%,12%,-45%,-44%,-48%,-50%
300292,吴通控股,2013-08-06,10.55,-1.39,7.38,5.4,12.22,135.37%,130.16%,-6%/-1%(阴),1%,-3%,-3%,-4%,-2%,1%,-3%
300298,三诺生物,2015-10-22,10.09,-1.94,11.55,9.27,11.61,114.41%,102.49%,1%/8%(阳),5%,3%,12%,3%,-5%,-6%,-6%
300305,裕兴股份,2015-04-08,9.24,4.33,7.8,6.81,14.77,164.85%,121.57%,-8%/-1%(阴),7%,12%,7%,0%,-6%,-8%,-5%
300308,中际旭创,2014-11-27,10.32,8.06,5.31,7.63,9.91,330.04%,115.11%,-6%/-1%(阴),-6%,-7%,-8%,0%,-5%,-5%,-10%
300309,未找到标的,2019-09-16,1.18,-2.45,6.13,4.25,7.08,233.83%,125.32%,-4%/-1%(阴),-3%,-7%,-7%,-9%,-8%,-9%,-13%
300312,未找到标的,2017-08-18,9.07,9.56,4.39,0.88,4.32,409.78%,174.06%,-2%/5%(阴),7%,1%,-2%,4%,9%,4%,3%
300321,同大股份,2019-10-23,6.31,-2.58,6.59,3.0,9.18,214.41%,107.26%,-3%/8%(阳),5%,-1%,-2%,-5%,-7%,-5%,-5%
300324,旋极信息,2020-01-17,12.08,0.46,5.79,6.53,9.41,188.19%,137.64%,-2%/3%(阳),2%,2%,8%,-8%,1%,6%,16%
300328,宜安科技,2017-06-22,9.65,4.52,6.73,3.56,11.36,1198.72%,144.7%,-8%/-4%(阴),-4%,-5%,-7%,-7%,-9%,-7%,-6%
300331,苏大维格,2012-12-21,10.02,4.55,7.05,5.16,10.58,162.16%,103.75%,-4%/1%(阳),3%,7%,3%,-1%,-4%,-1%,0%
300334,津膜科技,2013-02-20,7.07,0.76,4.64,2.59,9.11,162.07%,102.14%,-1%/3%(阳),3%,9%,7%,4%,6%,11%,11%
300340,科恒股份,2015-05-28,11.13,2.82,7.44,1.95,12.06,148.53%,130.7%,-8%/4%(阴),10%,12%,11%,7%,6%,2%,0%
300342,天银机电,2019-08-30,9.58,-2.15,6.56,3.66,10.47,184.42%,103.41%,-1%/5%(阳),3%,3%,1%,1%,5%,4%,2%
300350,华鹏飞,2012-11-06,9.75,5.14,7.91,6.25,12.57,287.9%,118.26%,-5%/0%(阳),3%,0%,3%,1%,6%,3%,3%
300384,三联虹普,2016-07-13,9.56,-1.44,5.65,5.97,9.32,113.57%,106.93%,-1%/3%(阳),1%,-2%,1%,1%,-1%,-1%,-3%
300385,ST雪浪,2019-06-21,7.1,4.8,9.61,7.78,9.89,298.47%,144.2%,-4%/-1%(阴),-5%,-12%,-12%,-8%,0%,-2%,5%
300401,花园生物,2016-06-21,9.95,9.58,12.18,0.41,9.04,194.91%,130.15%,-2%/1%(阴),1%,-2%,-1%,5%,3%,3%,1%
300429,强力新材,2017-08-17,10.01,0.18,4.39,2.51,7.07,151.95%,105.76%,-1%/0%(阳),0%,-2%,-2%,1%,1%,2%,2%
300469,信息发展,2017-09-06,8.19,4.74,10.63,7.33,12.2,282.26%,104.78%,-4%/2%(阴),-1%,-3%,-5%,-7%,-6%,-8%,-10%
300474,景嘉微,2019-09-23,10.49,4.29,5.63,4.73,7.88,124.71%,102.01%,-1%/4%(阴),4%,1%,-2%,-2%,-5%,-5%,-3%
300496,中科创达,2020-01-22,10.72,5.01,7.17,1.33,10.09,119.66%,103.44%,-8%/-1%(阴),-17%,-8%(板),-1%,2%,1%,10%,14%
300503,昊志机电,2019-02-25,11.22,-2.02,6.15,4.02,7.46,119.29%,106.51%,-3%/-1%(阴),-3%,-4%,-5%,-2%,-2%,2%,6%
300519,新光药业,2020-06-17,9.84,6.38,12.08,5.35,12.94,204.48%,113.83%,-7%/-2%(阴),-8%,-1%,4%,-1%,-4%,-2%,-3%
300525,博思软件,2018-03-30,9.67,0.75,10.97,8.05,10.83,428.58%,125.4%,-1%/10%(阳),1%,1%,-1%,6%,7%,11%,13%
300527,ST应急,2017-09-28,10.56,1.12,6.04,8.43,11.66,241.37%,140.08%,-3%/7%(阳),9%,7%,6%,16%,11%,7%,11%
300554,三超新材,2020-05-20,9.28,-2.16,5.82,5.01,11.36,206.99%,162.02%,-4%/-2%(阴),-3%,-5%,-3%,-1%,-2%,-2%,-3%
300560,中富通,2019-04-18,11.13,-0.67,6.03,2.81,8.74,158.78%,112.41%,-3%/1%(阳),-1%,-1%,3%,2%,2%,-1%,-10%
300562,乐心股份,2019-12-12,10.97,-3.39,6.38,4.18,11.33,111.42%,101.3%,-2%/2%(阴),5%,4%,5%,5%,12%,8%,7%
300572,安车检测,2019-03-04,10.53,2.09,6.33,4.17,10.54,174.49%,168.58%,-1%/2%(阳),4%,2%,5%,14%(板),24%,22%,20%
300578,会畅科技,2019-02-25,10.52,2.41,6.59,2.96,9.45,113.53%,103.03%,-3%/9%(阳),10%,8%,9%,11%,8%,19%(板),30%
300579,数字认证,2020-04-20,12.24,0.55,9.82,7.67,12.19,134.24%,101.91%,-5%/-1%(阴),-1%,5%,-3%,-7%,-9%,-12%,-10%
300611,美力科技,2020-07-13,10.27,8.62,13.59,2.24,12.79,175.37%,104.42%,-4%/2%(阳),2%,0%,-7%,-1%,-4%,-4%,-9%
300622,博士眼镜,2017-10-17,9.84,-3.95,6.97,7.71,10.26,258.54%,183.8%,-4%/3%(阳),1%,-1%,-2%,-3%,-4%,1%,1%
300639,凯普生物,2019-08-19,10.31,4.31,3.69,3.89,5.15,169.09%,105.39%,-3%/0%(阴),-2%,-1%,0%,-1%,0%,-1%,-3%
300641,正丹股份,2018-10-12,10.91,-4.55,8.94,6.3,14.31,228.29%,129.82%,-6%/-3%(阴),-6%,-6%,-22%,-24%,-20%,-21%,-21%
300656,民德电子,2020-02-11,12.02,0.32,6.86,2.23,9.03,172.88%,106.63%,-2%/5%(阳),4%,3%,9%,6%,5%,5%,5%
300709,精研科技,2020-02-24,9.92,6.79,9.24,2.46,11.72,117.9%,103.81%,-8%/4%(阳),-3%,-5%,-7%,-9%,-8%,-14%,-15%
300722,新余国科,2019-08-26,10.09,-4.11,3.76,3.44,10.12,133.84%,117.44%,-1%/2%(阳),7%,2%,3%,9%,9%,7%,7%
300742,未找到标的,2019-09-23,10.42,-4.07,8.41,6.98,9.98,133.07%,104.79%,-2%/0%(阳),-1%,-2%,6%,1%,0%,-2%,0%
300769,德方纳米,2019-07-09,10.16,-4.76,5.62,4.35,10.05,112.3%,106.46%,-1%/9%(阳),8%,6%,9%(板),10%,8%,8%,4%
