股票代码,股票名称,D-0日期,D-2涨幅,D-2振幅,D-1振幅,D-0涨幅,D-0振幅,D-2~D-0区间振幅,D-0/D-2成交额百分比,D-0/D-1成交额百分比,T+0(低/高),T+1最高价,T+2最高价,T+3最高价,T+4最高价,T+5最高价,T+6最高价
600790,,2007-05-17,4.73,8.49,9.47,7.89,10.31,27.27%,166.73%,142.0%,-5%/9%(阴),5%,4%,3%,3%,4%,11%
600791,,2005-08-05,1.93,4.96,7.3,2.95,5.16,21.49%,365.11%,258.8%,-2%/2%(阴),1%,-1%,-1%,2%,2%,3%
600791,,2007-08-03,3.84,10.76,8.59,9.96,6.66,26.52%,143.54%,113.66%,-7%/3%(阴),-3%,-6%,-8%,-16%,-12%,-10%
600792,,2019-02-27,4.94,6.48,11.76,7.22,12.83,27.16%,281.73%,148.73%,-7%/-1%(阴),-4%,0%,-4%,1%,7%,-1%
600792,,2019-04-18,5.79,10.08,9.76,6.49,7.14,32.24%,339.4%,320.31%,-8%/7%(阳),1%,-4%,-1%,-6%,-11%,-12%
600795,,2000-01-18,2.47,2.84,9.51,2.35,8.08,23.75%,809.83%,173.05%,-2%/5%(阳),7%,10%,10%,10%,13%,14%
600796,,2007-05-09,6.96,9.54,8.18,-1.81,9.45,21.1%,125.31%,118.87%,-4%/-1%(阴),7%,18%,20%,11%,12%,17%
600796,,2009-02-03,5.42,9.34,9.43,8.83,10.65,29.22%,291.87%,166.67%,-10%/1%(阳),-2%,-2%,2%,1%,6%,14%
600797,,2006-07-11,2.36,5.51,10.0,0.47,4.43,17.32%,196.27%,128.68%,0%/5%(阴),-1%,-7%,-6%,-4%,-4%,-5%
600801,,2019-11-26,0.99,3.61,8.58,-2.36,6.77,15.15%,238.57%,106.52%,0%/3%(阳),4%,2%,4%,1%,0%,-1%
600802,,2010-12-15,2.93,8.55,12.39,-1.46,8.33,20.03%,226.38%,121.66%,-2%/2%(阳),-1%,-2%,1%,-1%,-3%,-6%
600802,,2012-12-19,0.97,7.79,12.22,5.85,9.5,22.73%,332.67%,248.07%,-3%/9%(阳),8%,5%,6%,3%,2%,0%
600804,,2006-10-13,5.79,6.15,11.4,7.77,8.5,28.11%,222.46%,132.04%,-4%/1%(阳),11%,20%,17%,9%,8%,9%
600807,,2007-08-03,3.17,8.94,9.69,-0.64,8.67,21.79%,161.89%,100.79%,-3%/5%(阳),5%,0%,-4%,-5%,-9%,-9%
600808,,2017-08-04,4.17,10.31,11.37,0.0,9.18,24.34%,152.8%,113.26%,0%/6%(阳),7%,6%,3%,-4%,-7%,-9%
600810,,2018-05-08,4.75,9.21,7.31,-0.25,5.39,21.63%,167.85%,147.4%,0%/4%(阳),6%,5%,3%,8%(板),14%,19%
600811,,2022-03-01,5.92,7.57,3.73,-3.95,8.76,21.05%,291.59%,135.38%,0%/3%(阳),12%(板),7%,2%,-1%,-5%,-5%
600815,,1999-06-14,2.92,8.34,11.62,5.41,8.35,24.76%,156.04%,111.31%,-10%/5%(阴),-4%,-2%,-1%,-3%,4%,1%
600815,,2019-02-27,5.9,7.54,12.07,4.51,14.37,29.18%,350.14%,250.07%,-9%/-1%(阴),-5%,-5%,-3%,0%,1%,-3%
600816,,2014-10-09,6.9,7.25,8.77,1.82,6.96,21.69%,183.98%,114.42%,-1%/3%(阳),1%,2%,9%,10%,13%,22%
600820,,2025-07-23,5.97,4.24,8.15,-2.69,13.06,25.12%,326.53%,184.67%,-3%/0%(阳),-2%,-6%,-7%,-7%,-8%,-9%
600821,,2002-06-25,6.26,6.26,3.83,2.54,6.43,24.73%,425.46%,103.75%,-2%/2%(阳),8%,7%,6%,4%,5%,5%
600822,,2009-09-17,4.2,7.64,11.0,3.67,9.17,27.6%,323.08%,164.96%,-1%/9%(板),8%,11%,17%,21%,6%,-1%
600823,,2018-01-09,9.61,10.39,10.38,3.58,7.8,30.98%,218.56%,130.98%,0%/4%(阳),2%,3%,-1%,3%,2%,-6%
600824,,2018-11-13,2.35,10.88,12.93,-1.57,5.74,17.35%,221.41%,141.45%,-2%/4%(阳),2%,5%,12%(板),16%,17%(板),27%
600825,,2024-03-25,8.06,7.85,11.47,1.04,10.26,30.37%,429.36%,209.0%,-9%/2%(阴),-8%,-9%,-10%,-10%,-11%,-14%
600826,,2013-12-13,3.72,6.59,8.24,-5.4,11.18,20.07%,404.8%,217.85%,-7%/-1%(阴),-5%,-6%,-10%,-10%,-13%,-12%
600827,,2000-02-15,4.53,4.15,7.13,-0.33,10.66,24.53%,161.89%,149.45%,-3%/3%(阴),6%,-1%,0%,-5%,-9%,-6%
600827,,2022-04-13,-1.3,7.55,10.03,-3.04,7.59,15.97%,196.99%,116.84%,-2%/2%(阳),4%,1%,-1%,0%,-3%,-5%
600827,,2022-06-08,5.43,8.23,10.46,-5.61,11.14,19.01%,187.5%,121.79%,-7%/-2%(阴),-7%,-7%,-8%,-6%,-7%,-7%
600830,,2007-08-13,4.44,5.88,12.3,-1.67,12.85,26.05%,145.77%,120.39%,-3%/9%(板),14%,11%,14%,16%,19%,15%
600830,,2021-12-02,5.76,8.85,11.48,0.0,7.96,23.46%,294.48%,211.55%,-4%/1%(阴),-4%,-5%,-4%,-5%,-5%,-6%
600830,,2022-12-06,1.86,6.26,9.8,-1.81,9.52,20.3%,417.7%,186.42%,-2%/1%(阴),-1%,-2%,-5%,-5%,-6%,-4%
600830,,2023-11-23,0.0,2.59,10.5,-1.52,9.68,16.89%,900.81%,305.81%,-2%/0%(阴),-2%,-4%,-4%,-4%,-1%,0%
600833,,2017-02-22,3.97,4.28,10.49,-3.47,7.8,17.8%,248.45%,217.79%,-2%/0%(阳),-1%,0%,-2%,1%,0%,-3%
600835,,2024-10-29,8.74,10.78,7.31,-2.25,7.14,23.13%,182.45%,103.34%,-5%/-1%(阴),7%,8%,2%,8%,17%(板),25%
600836,,2013-08-27,4.31,8.61,11.19,7.75,6.54,24.72%,281.47%,271.57%,3%/9%(板),11%,6%,12%,5%,11%,16%
600838,,2018-03-23,2.6,9.28,11.03,3.81,13.73,24.21%,369.53%,296.99%,-10%/-4%(阳),-1%,-4%,-6%,-7%,-8%,-10%
600838,,2022-04-13,1.9,9.92,11.2,-1.45,11.88,23.78%,269.01%,191.47%,-6%/4%(阴),1%,-4%,-5%,-1%,-4%,-9%
600843,,2015-08-14,6.56,11.03,12.98,-1.83,11.54,27.35%,124.86%,106.97%,-1%/5%(阳),4%,0%,-6%,-14%,-24%,-34%
600844,,2004-02-05,3.13,6.59,10.38,3.34,7.84,20.76%,240.96%,122.55%,-3%/4%(阴),-3%,4%,3%,9%,7%,3%
600844,,2022-12-09,1.24,2.48,9.17,-3.89,7.22,12.69%,768.02%,165.59%,-2%/0%(阴),-1%,-1%,-2%,-3%,-2%,-5%
600845,,1999-03-15,6.13,7.15,7.15,0.25,7.87,23.94%,312.22%,127.15%,-4%/-1%(阳),-1%,-3%,-2%,-3%,-3%,-3%
600845,,2015-03-24,1.43,6.9,11.97,7.7,13.32,23.34%,162.85%,127.98%,-3%/8%(阳),7%,-3%,-5%,-3%,-2%,7%
600845,,2018-03-02,2.8,10.66,12.24,-4.32,7.98,19.52%,133.49%,104.74%,-2%/4%(阳),1%,0%,1%,4%,3%,0%
600848,,2000-03-27,5.89,8.7,8.94,6.38,13.27,27.34%,270.51%,103.67%,-6%/-1%(阴),-3%,-5%,-7%,-8%,-12%,-12%
600849,,2009-04-29,6.56,5.02,9.04,5.51,8.65,22.95%,251.36%,159.5%,-3%/10%(阳),15%,8%,6%,5%,3%,9%
600850,,2007-05-22,5.2,7.0,15.47,-3.27,7.52,20.62%,112.51%,109.44%,-2%/0%(阳),1%,-2%,2%,0%,-4%,-14%
600850,,2023-09-08,5.42,10.38,7.25,6.75,11.22,28.54%,457.9%,225.41%,-9%/-5%(阴),-8%,-10%,-9%,-6%,-9%,-11%
600851,,1999-06-22,2.8,7.66,10.18,5.37,6.61,24.49%,264.84%,190.12%,-3%/1%(阴),0%,1%,-2%,0%,-2%,-10%
600851,,2013-06-06,2.29,5.72,12.8,2.82,6.43,20.97%,178.2%,123.43%,-4%/2%(阴),-5%,-5%,-4%,-2%,-3%,1%
600851,,2024-08-02,2.11,3.38,10.95,2.63,12.78,24.26%,650.68%,350.62%,-9%/-3%(阴),0%(板),10%,8%,3%,0%,-4%
600853,,2023-04-25,4.0,9.9,13.0,-2.0,9.48,22.86%,135.91%,122.05%,-7%/-1%(阴),6%(板),15%,11%,7%,6%,-2%
600855,,2009-02-09,1.82,6.67,10.52,3.61,10.65,24.24%,185.3%,166.75%,-2%/6%(阳),10%,12%,13%,10%,5%,3%
600855,,2013-01-15,2.1,4.72,11.55,1.05,9.1,23.33%,269.2%,203.16%,-1%/4%(阳),2%,-5%,-5%,-5%,-6%,-2%
600855,,2025-12-10,0.81,8.02,12.74,-5.28,12.12,20.43%,147.21%,109.4%,-5%/-1%(阴),4%(板),11%,18%,9%,4%,3%
600857,,2022-01-27,-2.92,8.1,10.86,0.35,7.85,15.63%,227.57%,141.0%,-2%/9%(阳),13%,10%,7%,14%(板),20%,14%
600860,,2005-08-12,4.68,6.89,12.63,-2.15,7.42,22.04%,363.62%,178.19%,-3%/2%(阳),2%,3%,8%,2%,6%,6%
600860,,2022-11-18,1.16,3.68,9.56,-1.65,11.07,19.33%,274.02%,174.98%,-4%/-1%(阴),-2%,-4%,-5%,-2%,-6%,-6%
600862,,2015-10-16,-0.23,8.12,12.91,0.9,6.66,16.53%,127.15%,107.84%,-3%/2%(阴),0%,0%,-5%,-3%,-1%,0%
600864,,2002-03-13,3.62,5.33,7.66,-5.03,7.67,16.78%,201.85%,186.77%,0%/4%(阳),3%,1%,2%,3%,10%,6%
600865,,2024-04-12,1.26,6.17,11.91,-4.28,5.42,13.04%,308.16%,103.22%,-9%/-2%(阴),-12%,-10%(板),-3%,-5%,-12%,-13%
600866,,2009-04-21,2.15,4.3,11.09,-3.83,11.83,18.75%,171.45%,139.82%,-8%/4%(阴),-5%,-5%,-4%,2%(板),2%,4%
600867,,2007-02-02,0.34,8.09,10.02,-7.48,17.52,22.15%,135.89%,116.96%,-9%/0%(阳),1%,5%,11%(板),14%,15%,16%
600868,,2000-04-25,7.98,10.95,5.51,1.98,12.52,30.83%,261.21%,110.18%,-3%/4%(阳),4%,-2%,3%,2%,-3%,-9%
600868,,2007-04-24,7.5,9.54,5.71,5.76,6.77,30.15%,139.83%,106.63%,-9%/9%(阴),0%,8%,11%,10%,8%,8%
600869,,2011-01-05,5.24,7.66,8.02,6.83,12.17,27.73%,251.14%,112.47%,-1%/5%(阴),2%,4%,-2%,4%(板),11%,10%
600869,,2014-02-14,5.06,6.43,7.16,6.75,7.22,25.72%,321.96%,253.54%,-2%/4%(阳),3%,1%,0%,-5%,-4%,1%
600869,,2015-02-05,5.12,6.97,8.58,7.35,12.75,28.07%,377.6%,132.76%,2%/8%(阴),7%,7%,11%,8%,9%,19%
600870,,1997-03-20,4.75,6.91,6.08,-6.09,12.84,23.0%,189.48%,187.45%,0%/9%(阳),14%,8%,8%,16%,17%,22%
600871,,2001-06-25,3.76,6.27,11.01,6.83,10.24,25.35%,353.61%,198.04%,-2%/2%(阳),2%,5%,2%,2%,6%,6%
600873,,2020-08-04,7.22,11.01,7.58,-3.06,10.26,26.53%,155.15%,152.66%,-2%/6%(阳),3%,5%,9%,3%,-2%,-4%
600874,,2013-01-16,5.18,4.32,11.29,2.99,6.9,21.38%,463.87%,229.5%,-5%/-1%(阴),2%,0%,0%,0%,-1%,-2%
600874,,2014-02-12,3.22,3.61,9.99,5.22,5.68,21.91%,932.46%,151.17%,-2%/1%(阳),1%,3%,3%,2%,-1%,-2%
600875,,2001-06-04,3.56,4.84,9.61,7.7,9.78,25.3%,536.04%,352.33%,-2%/3%(阴),0%,2%,-3%,-1%,-3%,1%
600877,,2002-06-25,2.12,3.75,8.29,1.16,7.83,20.2%,657.46%,153.44%,-2%/1%(阴),0%,-1%,-3%,-2%,1%,0%
600879,,2000-01-24,0.51,4.63,10.04,7.12,7.91,23.47%,458.44%,103.21%,-3%/3%(阳),7%,2%,2%,9%(板),20%,25%
600879,,2013-01-15,2.21,5.15,10.79,8.1,6.54,23.82%,285.93%,216.26%,-3%/10%(板),10%,2%,2%,0%,0%,5%
600880,,2023-01-04,5.48,11.55,11.13,3.71,9.95,29.16%,234.73%,215.92%,-3%/3%(阴),-3%,-10%,-10%,-7%,-9%,-10%
600882,,1999-06-29,-6.7,8.97,9.74,7.93,6.41,19.62%,188.81%,158.09%,-6%/0%(阴),-6%,-6%(板),1%,-2%,-5%,-7%
600883,,1997-03-11,4.14,6.06,6.52,3.99,10.31,23.63%,265.69%,223.94%,-3%/4%(阴),-2%,-6%,-3%,-11%,-10%,-16%
600883,,2009-11-24,2.78,5.15,10.02,-8.83,14.12,20.08%,278.73%,145.07%,-1%/8%(阳),8%,0%,0%,5%,6%,6%
600884,,2009-11-04,3.71,9.03,9.83,1.79,5.87,23.6%,312.42%,222.98%,-1%/9%(阳),5%,10%,9%,8%,9%,7%
600887,,2015-12-22,6.75,7.75,8.06,3.44,7.28,29.74%,319.74%,268.94%,-3%/1%(阴),-3%,-6%,-6%,-9%,-10%,-9%
600888,,2007-07-30,2.41,7.53,11.12,5.7,6.39,21.48%,294.14%,127.4%,3%/9%(板),21%,28%,31%,30%,32%,24%
600888,,2015-03-19,2.96,4.93,9.94,2.61,6.42,21.7%,238.66%,130.25%,-1%/2%(阴),3%,5%,14%,13%,12%,20%
600888,,2017-02-13,3.9,9.56,9.56,-1.65,7.26,20.75%,289.06%,250.7%,-2%/9%(阳),3%,3%,3%,7%,4%,4%
600889,,1999-06-22,4.71,7.06,11.12,7.25,10.21,27.65%,280.86%,190.42%,-3%/1%(阴),0%,0%,-5%,-4%,-1%,-4%
600889,,2010-11-09,5.97,8.31,8.46,4.12,6.35,28.18%,209.87%,108.12%,-3%/2%(阴),1%,-4%,-11%,-12%,-16%,-17%
600891,,2015-10-21,2.38,5.11,10.69,-4.96,12.67,18.19%,187.96%,125.45%,-3%/10%(板),13%,9%,8%,8%,2%,1%
600891,,2015-12-01,-1.78,5.77,15.28,2.23,6.6,21.09%,204.86%,145.8%,-9%/-3%(阴),-1%,-2%,-1%,-2%,-3%,2%
600892,,2022-08-23,3.02,9.98,13.51,-2.25,9.22,20.42%,256.18%,200.44%,-2%/2%(阴),4%,1%,4%(板),8%,11%,4%
600893,,2015-04-21,8.76,9.68,12.2,-2.34,13.18,30.47%,177.91%,116.23%,-1%/5%(阳),4%,11%,14%,9%,8%,9%
600893,,2020-08-10,9.4,11.61,12.91,-2.13,12.34,33.98%,168.92%,152.23%,-2%/6%(阳),-2%,0%,3%,2%,4%,2%
600893,,2021-01-05,9.3,10.15,9.12,3.08,9.16,29.02%,128.98%,112.75%,-2%/6%(阳),11%,13%,15%,12%,20%,13%
600896,,2009-02-03,2.97,5.75,10.63,2.95,5.4,19.85%,233.47%,140.24%,-1%/2%(阳),4%,6%,10%,12%,17%,20%
600897,,2015-11-05,4.19,5.14,8.0,1.74,8.6,26.1%,424.81%,324.88%,-4%/6%(阳),4%,1%,0%,0%,-3%,-4%
600903,,2019-03-08,1.86,4.03,12.09,-6.99,12.73,18.15%,208.06%,143.71%,-6%/-1%(阳),0%,-3%,-3%,-3%,-3%,4%
600909,,2026-06-25,9.87,10.92,12.52,4.69,11.99,33.82%,118.8%,110.79%,-1%/7%(阳),6%,-3%,1%(板),7%,-1%,-8%
600939,,2020-08-14,3.64,10.68,12.88,-5.11,10.85,20.39%,217.45%,158.36%,-6%/-3%(阳),-4%,0%,-3%,-4%,-5%,-6%
600958,,2019-02-26,8.84,11.44,5.21,-3.42,10.64,29.86%,130.04%,120.05%,-1%/4%(阳),1%,3%,9%,2%,6%,13%
600960,,2019-04-18,6.3,14.78,11.66,4.09,6.88,33.48%,337.88%,258.48%,-6%/2%(阳),-3%,-5%,-4%,-8%,-12%,-16%
600965,,2007-12-11,2.78,6.11,12.7,1.6,7.86,22.78%,313.4%,259.78%,-2%/10%(板),20%,13%,16%,11%,11%,19%
600968,,2021-09-16,-1.27,9.24,10.32,-2.93,7.04,16.24%,178.12%,167.38%,-5%/5%(阴),-1%,2%,0%,-4%,-2%,-5%
600969,,2007-05-10,6.12,9.13,9.23,0.86,9.54,27.73%,107.37%,103.34%,-5%/-1%(阴),3%,3%,-4%,3%,8%,11%
600970,,2022-06-08,3.54,6.35,9.91,-4.07,5.47,15.26%,301.31%,135.86%,0%/1%(阴),0%,-1%,-2%,0%,-1%,-1%
600971,,2007-05-22,4.22,7.84,13.1,0.74,7.98,25.34%,155.53%,125.33%,-1%/4%(阳),5%,5%,13%,14%,13%,13%
600971,,2009-11-03,5.31,8.69,14.58,1.58,3.27,18.29%,131.68%,104.04%,-2%/0%(阴),-1%,-1%,-3%,0%,-3%,-3%
600971,,2014-12-05,3.84,6.09,8.55,-3.83,9.16,16.69%,205.92%,128.02%,-4%/3%(阳),4%,-3%,-3%,-2%,-3%,0%
600971,,2017-02-14,1.9,3.36,8.74,2.21,5.21,16.35%,432.06%,212.32%,-4%/-2%(阴),-2%,-4%,-3%,-3%,-3%,-2%
600975,,2008-11-18,6.85,8.79,13.49,1.35,10.46,24.78%,223.34%,190.03%,-3%/10%(阳),10%,5%,6%,4%,2%,5%
600979,,2009-11-20,5.58,9.16,9.81,0.0,5.94,21.65%,205.47%,144.86%,-3%/4%(阳),3%,-4%,-4%,-9%,-7%,-6%
600979,,2010-12-15,6.45,8.48,11.86,-1.4,6.83,21.97%,171.07%,106.67%,-3%/0%(阳),0%,-2%,-4%,-4%,-5%,-8%
600979,,2020-08-21,1.64,3.83,8.6,-1.22,8.56,20.49%,591.7%,138.73%,-4%/-2%(阴),3%,2%,1%,-1%,0%,-3%
600979,,2025-02-11,1.52,3.91,9.42,2.72,9.53,23.04%,288.56%,173.46%,-1%/6%(阳),6%,10%,11%,5%,1%,0%
600980,,2015-05-27,4.4,7.77,9.21,1.57,8.99,23.48%,176.32%,152.68%,-2%/7%(阳),0%,4%,6%,6%,3%,7%
600981,,2024-09-11,3.66,9.15,10.0,-2.67,8.02,17.07%,285.98%,198.4%,-3%/3%(阳),6%,1%,2%,1%,-2%,7%(板)
600981,,2025-04-16,4.07,11.38,14.45,0.35,9.57,23.58%,321.69%,213.47%,-5%/-1%(阳),-4%,-6%,1%,-3%,-6%,-6%
600982,,2020-12-21,6.35,9.84,5.37,0.27,9.49,22.54%,222.78%,117.49%,-8%/-3%(阴),-6%,-7%,1%(板),12%(板),15%,9%
600982,,2025-03-14,3.53,5.18,11.14,0.21,7.44,20.0%,294.68%,210.4%,-2%/0%(阴),-1%,7%,4%,5%,2%,11%
600984,,2024-12-13,5.92,8.45,12.23,-2.66,7.49,23.38%,288.07%,256.83%,-2%/6%(阳),2%,6%,0%,-4%,-9%,-13%
600985,,2007-04-23,0.29,13.46,9.24,9.9,8.31,27.71%,131.01%,109.23%,-3%/2%(阴),-2%,5%(板),12%,8%,18%,16%
600985,,2020-07-07,7.58,7.82,8.86,1.65,6.3,23.72%,140.85%,112.15%,-5%/0%(阳),3%,-1%,2%,10%,9%,2%
600987,,2016-02-25,9.93,9.18,8.1,-4.73,13.33,28.12%,163.78%,102.37%,3%/10%(阴),6%,13%(板),18%,20%,17%,16%
600990,,2025-05-09,4.18,4.49,9.71,1.67,10.99,24.56%,423.96%,201.42%,-4%/8%(阳),4%,0%,-3%,-2%,-2%,-5%
600993,,2004-10-11,2.44,5.63,9.66,1.38,7.87,22.63%,267.18%,247.04%,0%/6%(阳),3%,1%,-7%,-7%,-7%,-8%
600993,,2013-06-03,1.8,2.79,6.98,1.82,4.26,15.54%,325.1%,103.47%,-4%/-1%(阴),-2%,-2%,-5%,-10%,-9%,-6%
600995,,2021-03-15,4.65,8.11,10.04,-2.09,6.52,18.17%,368.43%,122.5%,-2%/8%(阳),3%,8%,10%,11%,9%,5%
600996,,2019-03-22,2.87,11.38,12.11,-4.99,13.14,25.09%,145.1%,126.93%,-9%/-3%(阳),-6%,-12%,-14%,-15%,-7%(板),-2%
600996,,2022-07-15,5.92,4.62,8.58,5.33,13.26,22.66%,148.12%,118.47%,-1%/7%(阳),13%(板),25%(板),38%,31%,33%(板),34%
601000,,2014-03-21,7.72,10.93,12.24,1.9,9.76,28.94%,331.57%,146.69%,8%/10%(板),21%(板),32%,40%(板),39%,32%,28%
601001,,2014-10-14,3.33,6.53,11.87,5.16,9.73,20.27%,170.32%,110.58%,-4%/-1%(阴),-2%,-8%,-7%,-8%,-11%,-12%
601002,,2024-08-02,2.36,3.38,9.9,0.9,15.32,24.32%,556.14%,214.25%,-8%/-2%(阴),-4%,-6%,-9%,-9%,-9%,-9%
601011,,2016-08-08,6.11,11.88,11.66,5.09,10.61,29.7%,148.74%,117.62%,-2%/6%(阳),5%,6%,0%,5%,11%(板),11%
601012,,2024-10-08,9.62,8.31,6.58,9.79,7.46,31.11%,299.24%,136.63%,-10%/-4%(阴),-9%,-13%,-13%,-13%,-16%,-17%
601018,,2021-12-06,1.88,4.83,0.0,0.72,7.89,20.91%,698.22%,263.24%,-4%/-1%(阴),0%,0%,-3%,-4%,-5%,-5%
601022,,2023-08-21,3.61,8.83,9.9,3.42,8.25,25.17%,567.78%,122.92%,-7%/-2%(阳),-5%,-9%,-15%,-19%,-20%,-19%
601068,,2019-03-05,5.94,11.72,10.77,2.82,11.93,29.84%,163.14%,117.92%,-2%/2%(阳),11%(板),21%,8%,7%,3%,-5%
601068,,2021-06-03,4.22,10.84,12.14,0.0,7.87,23.8%,349.49%,228.29%,-4%/0%(阴),-3%,-5%,-5%,-5%,-7%,-8%
601068,,2025-10-23,4.46,5.04,12.06,-3.88,14.17,26.16%,551.8%,306.98%,-5%/0%(阴),-5%,-5%,-2%,-2%,-6%,-7%
601086,,2020-03-20,-1.83,4.77,11.4,0.85,10.02,15.23%,455.09%,118.26%,-9%/-4%(阴),-8%,-11%,-14%,-14%,-15%,-17%
601086,,2023-07-21,2.3,4.18,9.82,-1.12,9.67,20.08%,422.71%,151.3%,-6%/0%(阳),0%,8%(板),19%(板),31%(板),44%(板),58%
601106,,2020-07-07,3.09,6.19,9.0,-0.91,10.0,23.02%,304.63%,136.53%,-1%/7%(阳),12%,7%,8%,11%,9%,7%
601107,,2021-12-16,8.03,9.7,7.69,-0.47,8.16,23.27%,213.97%,101.68%,-4%/-1%(阴),3%,0%,1%,-1%,-4%,3%(板)
601113,,2019-08-06,5.25,9.5,9.57,0.49,10.29,21.7%,308.31%,141.55%,-9%/-1%(阴),-14%,-17%,-21%,-22%,-22%,-23%
601116,,2019-05-07,7.78,7.22,14.5,0.3,14.89,27.19%,175.96%,124.36%,-10%/-3%(阴),-9%,-8%,0%,0%,1%,7%
601118,,2015-05-28,2.63,6.97,6.0,-10.03,13.3,18.79%,147.29%,106.09%,-8%/1%(阴),1%,6%,8%,4%,8%,10%
601137,,2019-03-08,5.3,5.66,11.1,0.42,11.24,21.08%,211.22%,107.31%,-3%/4%(阴),2%,7%,1%,0%,-1%,0%
601138,,2019-02-14,3.21,2.8,10.53,0.51,4.35,16.54%,230.81%,149.54%,-2%/-1%(阴),0%,2%,0%,1%,1%,10%
601138,,2023-03-06,3.82,4.52,12.19,-2.73,7.12,18.98%,333.1%,179.56%,-5%/0%(阴),-3%,3%,1%,5%,7%,11%
601156,,2023-12-01,2.01,3.02,9.93,6.19,7.46,21.52%,796.43%,186.93%,-1%/4%(阴),0%,3%,5%,3%,7%,10%
601168,,2016-11-14,2.47,3.26,10.29,0.58,5.66,13.41%,225.53%,106.66%,-2%/4%(阴),-2%,-4%,-3%,-4%,-4%,-3%
601179,,2014-12-09,2.94,8.65,13.45,-1.37,16.64,27.16%,163.28%,137.09%,-1%/6%(阳),8%,6%,15%,14%,16%,17%
601208,,2020-07-09,1.01,3.61,10.44,3.64,5.85,21.68%,274.88%,247.63%,-1%/2%(阴),3%,12%,11%,15%,14%,19%
601226,,2023-06-28,2.06,7.82,6.94,1.58,4.2,13.72%,205.29%,205.27%,-2%/5%(阳),3%,5%,2%,2%,4%,0%
601231,,2023-03-24,4.23,4.23,9.45,3.03,4.9,20.53%,345.4%,132.27%,-3%/1%(阴),-2%,-4%,-4%,-5%,-3%,0%
601326,,2018-03-12,3.64,5.1,6.85,-2.08,5.27,17.85%,301.13%,214.66%,-2%/1%(阳),-2%,-3%,-3%,-3%,-4%,-4%
601330,,2019-06-04,4.36,7.34,14.32,-4.61,9.39,20.52%,224.83%,133.93%,-10%/5%(阳),-1%,-9%,-13%,-14%,-15%,-15%
601360,,2013-01-16,6.1,6.81,9.1,3.22,4.7,21.34%,391.85%,107.53%,-2%/2%(阴),1%,2%,1%,3%,1%,-5%
601360,,2026-01-13,6.3,7.88,6.59,-1.42,7.79,23.29%,200.46%,121.1%,-1%/9%(阳),11%,7%,-1%,-4%,-6%,-6%
601369,,2022-10-20,6.35,9.48,9.98,2.03,10.21,25.88%,374.37%,139.47%,0%/9%(阳),8%,5%,11%,9%,11%,6%
601388,,2014-11-26,1.05,4.92,11.4,3.58,6.5,17.7%,264.46%,149.01%,-3%/0%(阳),-1%,0%,1%,7%,4%,1%
601500,,2019-12-12,2.64,5.62,11.27,-3.51,6.88,16.53%,365.01%,156.98%,-2%/-1%(阳),2%,0%,-1%,-1%,1%,-2%
601515,,2019-02-20,4.77,5.42,8.25,1.34,9.18,22.45%,432.01%,117.52%,1%/10%(板),9%,12%,5%,2%,2%,2%
601515,,2019-03-08,7.24,10.54,13.7,2.17,14.8,31.1%,209.85%,168.41%,-7%/8%(阴),2%,6%,1%,-5%,-6%,0%
601515,,2020-03-10,2.88,5.76,9.43,-3.75,10.44,21.06%,306.43%,101.81%,-1%/3%(阳),-1%,-6%,-7%,-11%,-14%,-16%
601519,,2019-02-20,6.06,6.34,10.65,4.25,6.13,27.82%,431.91%,412.63%,-2%/9%(板),21%(板),33%(板),46%(板),61%(板),77%(板),94%
601519,,2025-06-26,5.51,7.5,10.66,-0.19,7.22,21.17%,265.68%,115.87%,-1%/3%(阴),-2%,-3%,1%,-1%,8%,16%
601558,,2014-02-19,4.01,5.35,11.31,4.21,10.05,25.67%,449.76%,183.89%,-4%/-1%(阴),-5%,-8%,-5%,-7%,-3%,-8%
601579,,2026-08-14,2.79,6.74,10.66,7.05,7.11,26.51%,453.39%,332.18%,-4%/0%(阳),3%,7%,1%,2%,9%,10%
601588,,2008-01-03,3.58,5.93,7.27,2.7,7.19,23.7%,329.61%,227.53%,-4%/3%(阳),5%,2%,2%,5%,7%,7%
601588,,2014-03-25,5.53,11.07,11.24,-1.36,7.48,24.11%,327.69%,144.87%,-3%/0%(阴),-1%,-2%,-4%,-2%,3%,-1%
601599,,2018-11-14,4.53,5.5,10.84,0.28,10.7,26.54%,397.85%,256.87%,-3%/0%(阳),0%,-2%,0%,-3%,-1%,-2%
601601,,2013-11-19,3.99,4.93,9.77,3.64,3.59,20.26%,431.68%,135.57%,-1%/1%(阴),-1%,-1%,0%,-2%,-1%,-1%
601601,,2014-12-05,-2.61,8.48,10.77,0.08,9.15,15.67%,130.46%,123.49%,-3%/7%(阳),7%,-3%,-6%,-5%,-7%,-1%
601607,,2009-04-29,6.56,5.02,9.04,5.51,8.65,22.95%,251.36%,159.5%,-3%/10%(阳),15%,8%,6%,5%,3%,9%
601608,,2013-09-12,4.08,4.37,5.88,0.76,7.38,23.03%,449.62%,236.46%,-7%/-3%(阴),-7%,-8%,-9%,-9%,-7%,-8%
601608,,2021-07-01,0.59,4.44,10.0,1.6,10.96,21.6%,700.17%,222.69%,-5%/7%(阳),4%,0%,-4%,-4%,-6%,-5%
