股票代码,股票名称,D-0日期,D-2涨幅,D-2振幅,D-1振幅,D-0涨幅,D-0振幅,D-2~D-0区间振幅,D-0/D-2成交额百分比,D-0/D-1成交额百分比,T+0(低/高),T+1最高价,T+2最高价,T+3最高价,T+4最高价,T+5最高价,T+6最高价
600071,,2020-07-08,3.6,5.04,9.53,6.5,13.09,24.9%,340.05%,161.2%,-5%/2%(阳),7%,14%,6%,4%,-1%,-6%
600072,,2002-06-25,6.58,9.01,5.51,-0.09,8.2,24.39%,151.63%,101.04%,-4%/1%(阳),0%,-2%,-3%,0%,0%,-1%
600072,,2019-07-04,7.35,3.86,12.63,4.49,11.93,25.3%,194.72%,163.86%,-4%/0%(阴),1%,1%,-1%,-4%,-9%,-2%
600073,,2007-01-31,3.81,6.24,13.13,-5.26,11.83,20.21%,174.65%,126.37%,-4%/10%(板),12%,8%,9%,15%(板),17%,15%
600073,,2008-12-08,0.21,9.44,11.35,4.86,7.39,18.67%,168.01%,151.85%,-6%/-2%(阴),-3%,-4%,-8%,-11%,-8%,-7%
600073,,2009-04-10,0.95,8.54,10.97,1.71,3.99,14.24%,141.87%,112.02%,-2%/1%(阳),6%,5%,2%,3%,9%,5%
600077,,2019-04-01,2.12,8.48,12.17,5.66,9.7,23.33%,390.66%,202.09%,-4%/-1%(阴),-3%,-3%,-3%,-3%,-4%,-4%
600081,,2024-11-13,4.94,5.76,11.6,-5.71,8.95,14.73%,121.35%,108.59%,-8%/-1%(阴),-6%,-8%,-10%,-7%,-8%,-9%
600082,,2009-02-13,5.23,9.92,10.96,2.55,6.6,27.08%,129.61%,102.31%,-2%/2%(阳),4%,5%,3%,5%,13%,14%
600088,,1999-05-25,3.17,4.27,9.44,-1.98,8.02,20.0%,237.1%,100.6%,2%/9%(阳),9%,13%,10%,11%,10%,18%
600088,,2006-05-11,3.64,7.94,10.9,5.32,12.45,26.33%,185.82%,116.73%,2%/10%(板),21%,24%,27%,24%,23%,33%
600089,,2025-07-23,6.75,3.5,11.42,-1.32,9.42,22.52%,224.7%,134.18%,-2%/2%(阳),2%,-2%,-2%,-2%,-4%,-5%
600093,,2000-01-11,3.32,3.72,8.67,-3.72,8.76,19.01%,623.11%,202.68%,-6%/0%(阴),-6%,-9%,-8%,-9%,-10%,-8%
600096,,1998-06-01,4.44,5.47,8.62,6.34,7.93,25.28%,310.95%,241.1%,-1%/2%(阳),1%,6%,5%,5%,2%,-4%
600097,,2020-04-08,4.3,7.56,10.56,2.74,7.78,20.99%,202.06%,141.85%,-4%/-2%(阴),-4%,-4%,-5%,-6%,-8%,-8%
600097,,2021-04-14,1.38,4.88,11.09,-1.52,10.27,19.51%,291.13%,177.7%,-4%/0%(阴),-1%,-3%,-2%,-6%,-5%,-7%
600097,,2022-03-30,-1.98,8.17,12.15,2.06,10.6,18.89%,291.39%,285.34%,-8%/-3%(阴),-7%,-10%,-10%,-16%,-17%,-18%
600098,,2020-12-17,4.29,5.56,11.13,-2.63,13.99,25.6%,569.82%,230.56%,-8%/0%(阳),-5%,-9%,-10%,-11%,-6%,-2%
600098,,2021-09-07,-1.11,5.83,9.4,2.42,5.74,14.98%,243.56%,167.55%,-3%/3%(阳),3%,1%,-1%,0%,-4%,-3%
600099,,2006-04-11,5.58,6.69,10.21,-2.24,8.33,22.3%,249.41%,151.29%,-3%/0%(阴),-1%,-3%,-1%,-3%,-3%,-6%
600102,,2007-09-18,3.12,6.62,9.73,-0.25,9.43,19.29%,147.17%,131.23%,-6%/-1%(阴),-1%,-4%,-6%,-1%,-3%,-8%
600103,,2002-03-12,1.26,2.94,11.39,6.59,8.66,22.64%,524.39%,204.16%,-8%/-2%(阴),-3%,-2%,-5%,-7%,-4%,-4%
600103,,2002-06-25,4.7,5.37,4.27,0.0,7.18,23.27%,514.8%,138.13%,-1%/1%(阳),2%,5%,6%,1%,2%,1%
600105,,2023-06-15,6.09,10.78,10.01,0.54,7.5,26.72%,212.89%,173.16%,-4%/8%(阳),16%(板),15%,9%,1%,-2%,-4%
600106,,2010-03-02,2.46,7.99,9.83,-3.58,7.35,17.01%,164.97%,109.04%,-4%/-2%(阴),-2%,-3%,2%,-3%,-7%,-7%
600106,,2012-02-13,3.52,6.57,0.0,2.88,5.15,22.16%,537.7%,314.52%,0%/3%(阳),1%,1%,1%,2%,1%,4%
600106,,2013-08-30,0.57,4.86,2.84,6.2,9.56,23.14%,770.39%,156.13%,-9%/-4%(阴),-10%,-8%,-11%,-11%,-10%,-9%
600107,,2023-11-24,1.75,3.86,10.34,-2.51,9.4,19.3%,507.97%,207.05%,-3%/0%(阴),6%,12%,6%,6%,12%,9%
600107,,2024-09-19,6.57,9.85,12.61,3.31,9.92,30.15%,242.45%,201.64%,-2%/5%(阴),-2%,-3%,6%(板),11%,15%,23%
600108,,2010-08-09,0.2,3.87,10.57,0.55,4.44,16.5%,374.36%,179.97%,-3%/-1%(阴),-2%,-3%,-4%,-3%,-3%,-3%
600108,,2010-11-09,4.07,7.43,7.14,-2.01,7.73,19.29%,163.07%,159.78%,-2%/9%(阳),8%,0%,-4%,-2%,-9%,-12%
600109,,2019-02-26,9.02,9.82,8.48,-3.33,7.42,25.0%,156.8%,103.4%,-2%/3%(阴),-1%,0%,6%,-1%,5%,10%
600110,,1997-12-16,1.55,3.65,6.4,4.71,6.7,22.65%,687.17%,252.95%,-3%/9%(阳),7%,6%,15%(板),24%,23%,19%
600113,,2007-03-20,0.97,6.29,14.25,-0.87,7.07,20.56%,170.3%,147.66%,-2%/2%(阳),1%,0%,1%,4%,3%,-1%
600113,,2011-04-26,-0.77,3.99,13.38,2.24,12.16,22.42%,464.69%,144.45%,-3%/3%(阳),2%,-5%,0%,0%,5%,-2%
600113,,2020-06-03,4.49,4.49,8.28,7.67,6.83,26.28%,852.57%,326.97%,-4%/9%(板),6%,-6%,-10%,-11%,-12%,-12%
600116,,2015-05-26,3.36,4.59,11.21,-1.16,5.99,13.81%,178.47%,114.13%,-4%/0%(阴),-1%,-10%,-8%,-6%,-4%,-6%
600117,,2007-08-28,5.35,7.58,7.19,6.28,12.9,25.56%,149.93%,101.43%,-7%/1%(阴),6%(板),15%,18%,20%,17%,18%
600117,,2020-11-25,1.79,5.65,10.53,-5.05,11.97,20.24%,370.51%,142.26%,-3%/3%(阳),4%,2%,-2%,6%(板),17%(板),28%
600118,,2000-01-20,0.73,6.52,8.02,0.08,3.23,12.21%,160.18%,103.09%,-1%/5%(阴),5%,7%,0%,5%,7%,13%(板)
600118,,2023-02-23,6.43,10.06,11.16,1.16,7.44,25.45%,274.54%,179.77%,0%/4%(阳),9%,5%,8%,11%,10%,15%
600119,,2012-04-13,6.35,10.7,11.79,-0.57,6.86,25.59%,183.63%,137.52%,-4%/9%(阳),3%,4%,5%,11%,14%,17%
600119,,2016-07-19,1.08,4.83,10.0,-0.06,4.57,13.29%,185.48%,105.17%,-1%/10%(阳),17%,28%,28%,28%,27%,21%
600119,,2023-11-02,5.57,10.35,15.69,2.74,13.03,25.8%,598.24%,173.7%,-7%/-5%(阴),2%(板),7%,4%,2%,6%(板),17%(板)
600123,,2009-03-20,4.31,6.72,9.55,1.76,5.51,17.81%,150.36%,101.01%,-2%/4%(阳),3%,4%,10%,10%,8%,18%
600127,,1999-06-30,5.02,11.86,8.33,9.68,7.86,28.88%,135.03%,132.59%,-10%/0%(阴),-7%,-9%,-9%,-8%,-4%,5%
600128,,2014-09-15,5.2,10.21,9.07,7.76,7.52,26.18%,248.4%,172.27%,-9%/-3%(阴),-3%,-3%,-7%,-8%,-11%,-9%
600128,,2016-04-22,-5.11,9.79,9.86,-4.83,5.93,12.6%,249.93%,109.63%,-4%/-2%(阴),-1%,-2%,-3%,-3%,0%,2%
600130,,2006-12-07,4.47,7.35,11.01,8.89,7.22,27.8%,335.62%,151.32%,-9%/-4%(阴),-5%,-6%,-11%,-11%,-7%,-8%
600130,,2014-08-14,2.1,4.41,11.73,2.99,8.22,23.95%,406.86%,317.43%,-3%/5%(阳),8%,6%,4%,4%,1%,0%
600130,,2016-04-05,6.91,9.37,13.03,2.52,7.55,22.44%,144.29%,102.97%,-5%/-1%(阴),0%,-6%,-5%,-4%,-3%,-3%
600130,,2021-08-17,3.29,5.75,9.28,3.13,13.49,26.58%,495.32%,229.45%,-6%/9%(阳),6%,-1%,-2%,-3%,-6%,-5%
600130,,2023-10-25,3.33,10.22,10.75,0.59,8.79,23.78%,245.27%,185.67%,-3%/2%(阳),-1%,-4%,2%,-1%,3%,9%(板)
600132,,2000-01-11,-1.05,4.89,10.79,9.11,9.99,22.61%,556.78%,195.76%,-10%/-1%(阴),-10%,-12%,-12%,-13%,-12%,-9%
600132,,2024-09-27,1.12,3.22,10.4,5.66,2.75,17.17%,188.3%,100.31%,-2%/9%(阳),17%,2%,2%,0%,-4%,-5%
600133,,2023-12-07,3.46,12.07,11.39,-3.7,11.26,23.48%,188.02%,144.13%,-2%/3%(阴),-1%,4%,4%,3%,-3%,-4%
600136,,2004-12-29,3.51,7.51,9.68,2.49,7.77,20.7%,294.01%,166.77%,-6%/-2%(阴),-3%,-4%,3%,11%,14%,14%
600136,,2005-01-13,5.45,11.66,11.9,-2.95,13.99,28.39%,177.26%,158.35%,-3%/3%(阳),1%,0%,-1%,-4%,-5%,-5%
600137,,2019-12-30,1.44,1.98,12.95,2.76,8.28,21.75%,1223.45%,208.4%,-7%/-3%(阴),-4%,-6%,-8%,-6%,-7%,-8%
600141,,2016-08-24,1.7,5.02,9.54,6.77,4.33,21.87%,480.46%,348.11%,-2%/9%(板),8%,4%,2%,2%,1%,2%
600148,,1999-06-22,2.36,5.86,9.44,6.76,6.62,22.83%,253.05%,159.21%,-3%/3%(阴),6%,8%,7%,7%,8%,4%
600148,,2015-04-22,3.95,7.89,12.03,-0.31,9.29,21.56%,133.71%,110.19%,-2%/2%(阴),2%,-2%,-5%,-7%,-7%,-9%
600148,,2025-05-21,5.15,4.58,11.92,-5.62,6.52,12.54%,159.49%,133.63%,-3%/10%(板),9%,5%,3%,2%,-3%,-4%
600149,,2000-10-10,3.79,4.61,9.21,0.43,8.44,19.44%,173.92%,106.23%,-3%/1%(阴),0%,-1%,-4%,-3%,-3%,-4%
600149,,2026-02-04,0.37,2.61,0.0,0.51,9.8,18.84%,644.26%,605.33%,-3%/4%(阳),2%,2%,6%,8%,5%,3%
600151,,2010-03-04,2.97,4.55,10.02,-3.16,6.79,16.78%,380.31%,144.37%,-3%/0%(阴),-2%,-3%,-1%,-3%,-5%,-8%
600152,,2016-09-02,4.11,6.27,11.1,-2.22,5.73,15.57%,215.81%,139.85%,-2%/2%(阳),0%,4%,2%,7%,0%,6%(板)
600152,,2020-07-08,6.07,7.05,11.9,3.51,9.83,24.92%,320.43%,226.0%,-5%/2%(阳),-1%,-3%,-3%,-5%,-8%,-11%
600152,,2022-07-12,2.26,10.65,8.99,-1.43,8.32,18.06%,245.21%,108.83%,-2%/10%(阳),15%,16%,20%(板),21%,27%(板),34%
600153,,2008-12-08,2.23,7.79,9.07,3.47,5.12,17.63%,149.55%,105.12%,-2%/1%(阴),8%,9%,7%,3%,6%,10%
600153,,2014-12-09,3.0,7.37,5.48,0.61,11.19,26.73%,182.45%,159.27%,1%/10%(板),20%,16%,8%,12%,13%,11%
600155,,2020-12-02,-0.25,3.51,7.21,5.44,8.86,21.32%,638.33%,166.82%,-6%/-2%(阴),5%(板),7%,1%,-1%,-7%,-8%
600156,,1999-06-10,3.78,5.95,7.5,7.21,9.02,27.46%,707.92%,188.74%,-2%/0%(阴),2%,7%,4%(板),15%(板),19%,28%(板)
