股票代码,股票名称,D-0日期,D-1振幅,D-0振幅,D-0/D-1成交额百分比,T+0(低/高),T+1最高价,T+2最高价,T+3最高价,T+4最高价,T+5最高价,T+6最高价
301181,标榜股份,2022-07-28,21.61,10.56,70.98%,-8%/5%(阴),15%,7%,9%,-1%,-5%,7%(板)
301192,泰祥股份,2023-06-12,10.8,15.48,376.46%,9%/19%(阳),20%,0%,-5%,-7%,-8%,-7%
301198,喜悦智行,2024-12-09,20.98,15.48,173.35%,-3%/9%(阴),1%,-6%,-2%,-4%,-4%,-12%
301199,迈赫股份,2022-06-22,20.02,10.29,764.98%,-9%/-1%(阳),-7%,6%(板),27%(板),30%,10%,20%
301203,国泰环保,2023-08-21,21.54,15.04,129.55%,-3%/18%(阴),22%(板),23%,13%,8%,4%,0%
301209,联合化学,2024-05-07,20.06,11.97,255.96%,-6%/19%(阳),10%,8%,1%,5%,-4%,-1%
301218,华是科技,2023-07-14,19.04,16.5,243.79%,-9%/1%(阴),-9%,2%(板),18%,6%,17%,22%
301226,祥明智能,2024-07-24,17.38,17.32,173.5%,-5%/19%(板),16%,-3%,-7%,-9%,-9%,-12%
301269,华大九天,2024-11-11,17.92,17.59,167.99%,-7%/3%(阳),-1%,-7%,-10%,-17%,-17%,-18%
301279,金道科技,2024-06-26,19.38,6.28,91.77%,7%/20%(板),27%,0%,-2%,-8%,-14%,-15%
301289,国缆检测,2023-08-02,21.79,11.78,188.56%,-12%/0%(阳),17%(板),40%(板),39%,45%,38%,38%
301292,海科新源,2024-03-12,19.16,8.43,433.65%,-10%/-1%(阳),-4%,-7%,-7%,-8%,-10%,-11%
301297,富乐德,2023-11-09,20.88,15.27,172.72%,-11%/-4%(阳),-1%,-4%,-6%,-7%,-12%,-16%
301300,远翔新材,2024-07-09,21.94,12.84,221.18%,2%/19%(阴),15%,3%,-11%,-17%,-18%,-20%
301306,西测测试,2024-05-31,18.22,8.37,175.54%,12%/20%(板),26%,29%,31%,23%,4%,7%
301323,新莱福,2025-10-14,2.48,6.61,266.2%,-6%/11%(阴),4%,9%,1%,0%,-2%,-11%
301335,天元宠物,2024-12-03,19.63,11.47,303.33%,-16%/-7%(阴),-16%,-19%,-20%,-17%,-17%,-10%
301361,众智科技,2024-05-27,19.03,12.62,355.19%,0%/19%(板),18%,21%,26%,35%,49%,32%
301396,宏景科技,2025-02-14,20.16,24.0,107.92%,6%/20%(阴),31%,28%,33%,40%,26%,16%
301448,开创电气,2023-11-14,17.03,17.7,113.43%,-7%/19%(板),14%,-3%,-5%,-5%,-5%,-8%
301459,丰茂股份,2025-02-17,20.35,24.77,230.59%,-9%/17%(阳),20%,18%,12%,7%,7%,10%
301486,致尚科技,2025-12-08,16.29,18.15,235.05%,-1%/14%(阳),10%,11%,2%,1%,2%,3%
301487,盟固利,2024-10-08,15.26,10.29,110.44%,-15%/1%(阴),-5%,-13%,-16%,-11%,-18%,-17%
301488,豪恩汽电,2025-08-28,17.84,15.0,66.78%,3%/14%(阴),11%,21%,24%,20%,30%,26%
301512,智信精密,2025-02-05,18.96,19.0,165.78%,-5%/8%(阴),-6%,-10%,-8%,-9%,-8%,-11%
