股票代码,股票名称,D-0日期,D-1振幅,D-0振幅,D-0/D-1成交额百分比,T+0(低/高),T+1最高价,T+2最高价,T+3最高价,T+4最高价,T+5最高价,T+6最高价
300106,西部牧业,2024-08-26,24.87,14.29,392.55%,-1%/19%(阳),18%,0%,-7%,-11%,-15%,-13%
300108,未找到标的,2021-05-14,21.16,13.92,355.68%,-15%/-4%(阴),-10%,-12%,-4%,-8%,-14%,-9%
300123,ST亚光,2023-10-27,18.17,18.47,149.81%,-10%/-3%(阴),-4%,-8%,-14%,-16%,-14%,-14%
300126,锐奇股份,2020-11-04,18.63,7.37,337.24%,-5%/19%(板),24%,11%,1%,-9%,-12%,-13%
300147,*ST香雪,2024-08-01,13.61,0.0,59.53%,6%/19%(阳),25%,46%(板),75%,107%,98%,117%(板)
300148,天舟文化,2021-11-08,22.34,17.1,282.84%,-8%/3%(阴),-3%,-2%,-8%,-10%,-9%,-15%
300155,安居宝,2024-05-17,20.39,10.93,329.24%,-9%/0%(阴),-8%,5%,18%,13%,9%,11%
300159,新研股份,2024-07-29,18.89,18.98,233.43%,-6%/13%(阳),5%,7%,2%,13%,5%,10%
300162,雷曼光电,2024-05-20,22.72,9.24,305.69%,-11%/17%(阳),33%,34%,25%,15%,14%,11%
300177,中海达,2024-04-30,21.29,7.53,432.61%,-4%/11%(阳),5%,18%,14%,10%,4%,-4%
300185,通裕重工,2020-09-08,21.72,20.76,116.9%,5%/20%(阳),14%,5%,20%(板),26%,12%,9%
300187,永清环保,2022-07-18,22.8,17.61,242.88%,-11%/-4%(阴),-9%,-8%,5%,-5%,-8%,-10%
300189,神农种业,2025-04-08,16.99,24.13,129.69%,1%/17%(阳),15%,5%,2%,1%,-5%,-12%
300197,节能铁汉,2026-06-02,1.86,16.06,324.85%,11%/19%(板),38%,19%,30%(板),31%,29%,17%
300199,翰宇药业,2022-01-17,19.29,15.37,123.13%,-8%/-1%(阴),8%,8%,-3%,-12%,-17%,-32%
300204,舒泰神,2022-01-17,22.43,11.1,276.71%,-6%/14%(阳),13%,16%,-4%,-17%,-21%,-28%
300209,行云科技,2021-10-11,19.88,21.15,150.3%,-10%/5%(阴),2%,-2%,10%(板),18%,13%,15%
300211,*ST亿通,2024-08-15,20.86,19.16,251.9%,-6%/14%(阴),-13%,-22%,-25%,-24%,-29%,-26%
300237,ST美晨,2025-06-12,6.36,17.31,261.05%,-6%/12%(阴),-2%,-9%,-16%,-18%,-19%,-19%
300240,飞力达,2024-07-23,21.86,11.33,179.34%,-3%/11%(阳),9%,12%,-2%,1%,-15%,-15%
300242,佳云科技,2023-11-17,21.7,9.84,432.87%,-3%/13%(阳),19%,14%,3%,-4%,-11%,-14%
300245,ST天玑,2024-09-30,18.82,5.94,187.58%,9%/20%(板),44%,31%,26%,34%,39%,34%
300248,新开普,2025-03-07,17.71,7.38,209.74%,-7%/8%(阴),-4%,6%,22%(板),29%,20%,21%
300250,初灵信息,2025-09-23,12.05,13.33,184.3%,-8%/8%(阳),0%,-11%,0%(板),7%,4%,12%
300260,新莱应材,2025-10-13,21.85,9.81,67.82%,5%/19%(阳),10%,1%,-3%,-8%,-7%,-6%
300262,未找到标的,2023-10-26,17.8,0.0,86.72%,-9%/10%(阴),-7%,-19%,-22%,-20%,-17%,-18%
300264,佳创视讯,2021-06-15,21.89,13.43,79.0%,-3%/13%(阴),6%,12%,7%,4%,-6%,-8%
300264,佳创视讯,2021-11-04,19.63,14.35,451.74%,-3%/20%(板),31%,28%,38%,52%,44%,45%
300267,尔康制药,2022-03-21,20.67,13.26,98.88%,-10%/6%(阴),-5%,-10%,-14%,-16%,-15%,-14%
300272,开能健康,2024-05-09,2.9,10.57,263.69%,-13%/6%(阴),-9%,-14%,-19%,-18%,-21%,-20%
300276,三丰智能,2025-02-20,20.24,10.77,108.66%,6%/15%(阳),8%,4%,5%,8%,2%,-6%
300277,汽轮科技,2021-12-16,20.09,21.03,203.48%,-6%/8%(阴),-2%,-17%,-18%,-16%,-18%,-22%
300279,和晶科技,2024-10-08,18.59,8.25,296.54%,-9%/11%(阳),3%,-7%,-12%,-10%,-14%,-11%
300281,金明精机,2024-07-29,22.3,5.44,106.26%,0%/14%(阴),10%,3%,-6%,-13%,-12%,-10%
300306,远方信息,2022-03-15,16.91,13.81,130.55%,-6%/19%(板),28%,20%,24%,28%,22%,16%
300321,同大股份,2021-08-10,5.66,20.44,240.62%,-5%/8%(阴),-1%,-9%,-10%,-13%,-16%,-13%
300333,兆日科技,2026-08-13,20.97,0.0,12.58%,4%/20%(阴),19%,22%,10%,6%,5%,5%
300337,银邦股份,2022-06-20,15.45,12.87,167.14%,-10%/5%(阴),-1%,16%,24%,20%,16%,8%
300339,润和软件,2021-05-13,10.05,7.16,268.19%,-4%/4%(阳),7%,-1%,-7%,-9%,-5%,11%
300344,未找到标的,2025-07-17,20.3,17.12,241.59%,-8%/0%(阴),-7%,-12%,0%(板),12%,7%,12%
300345,华民股份,2021-06-10,17.81,17.16,338.35%,-5%/17%(阳),11%,5%,2%,1%,0%,15%
300374,中铁装配,2022-11-23,20.36,19.97,257.33%,-9%/-4%(阳),8%,11%,11%,1%,-1%,-4%
300379,未找到标的,2025-11-20,19.4,16.6,133.84%,0%/18%(阳),15%,7%,-49%,-55%,-56%,-53%
300386,飞天诚信,2024-06-24,22.49,26.33,232.35%,6%/20%(板),44%(板),42%,24%,17%,32%,12%
300389,艾比森,2020-12-10,19.92,24.62,218.44%,-8%/-1%(阳),2%,-3%,-8%,-12%,-15%,-18%
300399,天利科技,2024-09-30,18.46,14.66,91.6%,2%/19%(板),37%,17%,3%,2%,4%,0%
300399,天利科技,2025-06-25,20.54,14.82,154.5%,13%/19%(阴),16%,5%,5%,-3%,-6%,-2%
300402,宝色股份,2021-09-17,17.19,15.28,120.3%,5%/19%(板),43%,46%,46%,28%,45%,40%
300402,宝色股份,2025-11-04,0.0,11.72,702.06%,0%/10%(阳),5%,7%,0%,4%,-1%,-5%
300403,汉宇集团,2020-11-03,20.38,5.42,68.13%,-1%/19%(阴),4%,-1%,-10%,-11%,-17%,-19%
300414,中光防雷,2025-06-27,20.42,18.51,256.99%,3%/20%(板),24%,8%,1%,-1%,5%,1%
300419,ST浩丰,2020-10-20,16.67,6.94,220.58%,-9%/19%(板),39%,36%,34%,37%,56%,48%
