股票代码,股票名称,D-0日期,D-0涨幅,D-0振幅,D-0最低价,D-0最高价,D-1振幅,D-0/D-1成交额百分比,T+0(低/高),T+1最高价,T+2最高价,T+3最高价,T+4最高价,T+5最高价,T+6最高价
301026,浩通科技,2026-08-06,4.42,8.47,-0.51,+7.96,15.69,135.29%,-4%/2%(阳),2%,-1%,0%,2%,-3%,6%
301028,鼎熔岩,2021-09-07,0.06,12.24,-6.23,+6.01,15.63,141.67%,-5%/1%(阴),-5%,-7%,-10%,-6%,-6%,-5%
301032,新柴股份,2021-09-28,-6.7,8.21,-10.40,-2.19,7.14,87.76%,-6%/9%(阳),4%,17%,10%,9%,19%,16%
301032,新柴股份,2026-03-09,-4.43,3.17,-6.68,-3.50,21.09,139.21%,0%/1%(阳),2%,0%,-1%,-3%,-4%,-6%
301040,中环海陆,2021-11-05,-1.53,9.39,-6.91,+2.47,18.71,103.46%,0%/18%(阳),14%,10%,13%,15%,8%,8%
301041,金百泽,2022-07-22,4.25,12.54,-3.69,+8.85,18.7,187.33%,-7%/-4%(阳),-6%,-8%,-1%,-3%,-3%,-3%
301043,绿岛风,2026-01-15,2.76,9.1,-1.09,+8.00,18.37,130.11%,-3%/3%(阳),0%,-6%,-11%,-9%,-5%,-7%
301046,能辉科技,2022-07-14,10.54,17.62,+2.04,+19.65,20.68,194.64%,-3%/3%(阴),0%,3%,-4%,-4%,-5%,-7%
301047,义翘神州,2026-08-05,8.4,10.64,+3.03,+13.66,19.48,157.47%,-3%/1%(阴),19%(板),42%,40%,35%,41%,46%
301048,金鹰重工,2025-08-11,11.58,13.94,+5.53,+19.47,20.44,204.1%,-4%/5%(阴),-6%,-8%,-14%,-12%,-13%,-14%
301049,超越科技,2022-11-07,1.94,9.28,-2.81,+6.47,17.94,148.75%,-5%/-3%(阴),-2%,-4%,-5%,-7%,-6%,-6%
301051,信濠光电,2026-08-11,6.32,10.91,-3.38,+7.53,19.63,112.69%,0%/5%(阳),6%,-1%,1%,1%,-2%,-4%
301052,果麦文化,2022-11-17,9.51,25.66,-6.42,+19.23,20.05,183.14%,-9%/-2%(阴),-11%,-10%,-15%,-19%,-18%,-17%
301058,中粮科工,2022-01-07,4.69,21.88,-5.94,+15.94,21.51,111.46%,1%/10%(阴),7%,2%,0%,-1%,8%,11%
301059,金三江,2024-10-28,10.68,11.52,+4.34,+15.86,14.83,219.52%,-8%/-2%(阴),-8%,-12%,-11%,-15%,-13%,-9%
301068,大地海洋,2024-03-15,12.69,14.44,+3.61,+18.06,19.24,231.6%,-7%/3%(阳),-1%,-5%,-8%,-8%,-10%,-13%
301071,力量钻石,2024-12-24,5.27,18.75,-6.52,+12.23,17.04,137.55%,-5%/0%(阴),-1%,-3%,-8%,1%,2%,-4%
301082,久盛电气,2022-07-14,1.71,12.08,-2.17,+9.92,19.98,156.42%,-1%/7%(阳),2%,1%,-1%,-2%,-4%,-3%
